time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.127,-0.081,-0.981
0.020,-0.124,-0.079,-0.990
0.040,-0.116,-0.073,-0.988
0.060,-0.105,-0.071,-0.990
0.080,-0.093,-0.070,-0.990
0.100,-0.074,-0.076,-0.977
0.120,-0.052,-0.094,-0.973
0.140,-0.043,-0.108,-0.977
0.160,-0.045,-0.114,-0.976
0.180,-0.041,-0.117,-0.997
0.200,-0.027,-0.118,-1.012
0.220,-0.013,-0.116,-0.956
0.240,-0.034,-0.112,-0.877
0.260,-0.050,-0.113,-0.838
0.280,-0.082,-0.098,-0.849
0.300,-0.098,-0.091,-0.871
0.320,-0.115,-0.080,-0.861
0.340,-0.146,-0.084,-0.849
0.360,-0.148,-0.078,-0.850
0.380,-0.145,-0.064,-0.837
0.400,-0.138,-0.051,-0.826
0.420,-0.112,-0.050,-0.816
0.440,-0.083,-0.060,-0.819
0.460,-0.071,-0.061,-0.850
0.480,-0.075,-0.049,-0.876
0.500,-0.062,-0.036,-0.905
0.520,-0.047,-0.035,-0.899
0.540,-0.042,-0.053,-0.863
0.560,-0.027,-0.076,-0.826
0.580,-0.018,-0.078,-0.845
0.600,-0.025,-0.067,-0.887
0.620,-0.035,-0.050,-0.905
0.640,-0.050,-0.058,-0.887
0.660,-0.060,-0.079,-0.850
0.680,-0.079,-0.094,-0.862
0.700,-0.111,-0.094,-0.916
0.720,-0.136,-0.082,-0.972
0.740,-0.146,-0.072,-0.996
0.760,-0.137,-0.087,-0.988
0.780,-0.128,-0.105,-0.979
0.800,-0.110,-0.110,-1.003
0.820,-0.090,-0.096,-1.058
0.840,-0.078,-0.083,-1.110
0.860,-0.073,-0.081,-1.114
0.880,-0.079,-0.090,-1.066
0.900,-0.077,-0.110,-1.013
0.920,-0.073,-0.121,-1.023
0.940,-0.081,-0.114,-1.087
0.960,-0.085,-0.101,-1.167
0.980,-0.087,-0.081,-1.239
1.000,-0.092,-0.059,-1.290
1.020,-0.096,-0.052,-1.284
1.040,-0.092,-0.051,-1.252
1.060,-0.083,-0.052,-1.243
1.080,-0.076,-0.053,-1.250
1.100,-0.059,-0.069,-1.214
1.120,-0.076,-0.088,-1.176
1.140,-0.059,-0.101,-1.149
1.160,-0.065,-0.108,-1.136
1.180,-0.063,-0.122,-1.133
1.200,-0.070,-0.115,-1.162
1.220,-0.069,-0.106,-1.237
1.240,-0.112,-0.068,-1.347
1.260,-0.061,-0.086,-1.339
1.280,-0.059,-0.070,-1.344
1.300,-0.082,-0.057,-1.363
1.320,-0.075,-0.063,-1.348
1.340,-0.062,-0.062,-1.312
1.360,-0.045,-0.074,-1.265
1.380,-0.035,-0.091,-1.200
1.400,-0.028,-0.094,-1.163
1.420,-0.032,-0.068,-1.178
1.440,-0.040,-0.047,-1.216
1.460,-0.071,-0.044,-1.238
1.480,-0.093,-0.046,-1.218
1.500,-0.105,-0.049,-1.189
1.520,-0.113,-0.056,-1.182
1.540,-0.121,-0.055,-1.165
1.560,-0.108,-0.064,-1.131
1.580,-0.091,-0.062,-1.105
1.600,-0.074,-0.058,-1.077
1.620,-0.069,-0.059,-1.024
1.640,-0.068,-0.061,-0.986
1.660,-0.056,-0.059,-0.973
1.680,-0.056,-0.055,-0.991
1.700,-0.067,-0.053,-0.975
1.720,-0.078,-0.060,-0.941
1.740,-0.081,-0.073,-0.896
1.760,-0.072,-0.083,-0.830
1.780,-0.061,-0.101,-0.813
1.800,-0.060,-0.093,-0.831
1.820,-0.057,-0.083,-0.879
1.840,-0.056,-0.078,-0.900
1.860,-0.054,-0.078,-0.874
1.880,-0.056,-0.089,-0.836
1.900,-0.057,-0.087,-0.830
1.920,-0.068,-0.081,-0.859
1.940,-0.085,-0.080,-0.852
1.960,-0.081,-0.082,-0.820
1.980,-0.077,-0.085,-0.778
2.000,-0.073,-0.089,-0.741
2.020,-0.065,-0.085,-0.751
2.040,-0.058,-0.079,-0.808
2.060,-0.052,-0.079,-0.860
