time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.910,0.029,-0.224
0.020,-1.008,0.050,-0.233
0.040,-1.006,0.098,-0.239
0.060,-0.961,0.130,-0.238
0.080,-0.907,0.114,-0.233
0.100,-0.880,0.087,-0.226
0.120,-0.962,0.088,-0.212
0.140,-1.054,0.114,-0.206
0.160,-1.086,0.190,-0.211
0.180,-1.091,0.252,-0.224
0.200,-1.078,0.264,-0.233
0.220,-1.054,0.242,-0.245
0.240,-1.034,0.196,-0.266
0.260,-1.038,0.164,-0.277
0.280,-1.067,0.165,-0.271
0.300,-1.062,0.174,-0.264
0.320,-1.027,0.210,-0.246
0.340,-1.041,0.252,-0.230
0.360,-1.093,0.299,-0.221
0.380,-1.121,0.311,-0.235
0.400,-1.120,0.276,-0.257
0.420,-1.123,0.239,-0.278
0.440,-1.153,0.232,-0.307
0.460,-1.185,0.223,-0.337
0.480,-1.208,0.188,-0.358
0.500,-1.232,0.151,-0.399
0.520,-1.252,0.168,-0.367
0.540,-1.310,0.157,-0.366
0.560,-1.338,0.156,-0.381
0.580,-1.384,0.170,-0.386
0.600,-1.464,0.194,-0.398
0.620,-1.543,0.241,-0.429
0.640,-1.598,0.290,-0.463
0.660,-1.608,0.307,-0.482
0.680,-1.595,0.309,-0.489
0.700,-1.532,0.322,-0.479
0.720,-1.469,0.335,-0.473
0.740,-1.435,0.306,-0.460
0.760,-1.394,0.248,-0.422
0.780,-1.340,0.210,-0.383
0.800,-1.272,0.240,-0.352
0.820,-1.226,0.301,-0.349
0.840,-1.201,0.329,-0.361
0.860,-1.157,0.293,-0.368
0.880,-1.111,0.263,-0.359
0.900,-1.071,0.259,-0.348
0.920,-1.040,0.243,-0.359
0.940,-1.041,0.245,-0.369
0.960,-1.027,0.237,-0.380
0.980,-1.018,0.201,-0.382
1.000,-1.023,0.152,-0.370
1.020,-1.030,0.104,-0.351
1.040,-1.046,0.068,-0.339
1.060,-1.057,0.061,-0.336
1.080,-1.067,0.080,-0.341
1.100,-1.078,0.118,-0.351
1.120,-1.051,0.141,-0.358
1.140,-0.999,0.149,-0.342
1.160,-0.938,0.147,-0.322
1.180,-0.884,0.141,-0.311
1.200,-0.835,0.131,-0.300
1.220,-0.782,0.108,-0.286
1.240,-0.739,0.083,-0.270
1.260,-0.689,0.042,-0.240
1.280,-0.659,0.008,-0.221
1.300,-0.651,0.007,-0.203
1.320,-0.645,0.012,-0.194
1.340,-0.626,0.020,-0.201
1.360,-0.601,0.030,-0.209
1.380,-0.595,0.034,-0.206
1.400,-0.627,0.030,-0.203
1.420,-0.699,0.019,-0.211
1.440,-0.821,-0.010,-0.243
1.460,-0.946,-0.030,-0.299
1.480,-1.036,-0.077,-0.364
1.500,-1.120,-0.129,-0.410
1.520,-1.144,-0.149,-0.406
1.540,-1.118,-0.125,-0.375
1.560,-1.077,-0.056,-0.346
1.580,-1.052,0.018,-0.330
1.600,-1.041,0.076,-0.341
1.620,-1.030,0.082,-0.357
1.640,-1.040,0.061,-0.365
1.660,-1.063,0.029,-0.340
1.680,-1.066,0.001,-0.312
1.700,-1.060,-0.009,-0.302
1.720,-1.053,-0.006,-0.315
1.740,-1.044,-0.002,-0.333
1.760,-1.041,-0.015,-0.334
1.780,-1.032,-0.038,-0.313
