time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.844,-0.256,-0.312
0.020,-0.768,-0.272,-0.380
0.040,-0.743,-0.271,-0.407
0.060,-0.740,-0.280,-0.411
0.080,-0.741,-0.289,-0.399
0.100,-0.816,-0.270,-0.385
0.120,-0.913,-0.216,-0.384
0.140,-0.913,-0.151,-0.384
0.160,-0.892,-0.118,-0.392
0.180,-0.845,-0.124,-0.400
0.200,-0.790,-0.153,-0.410
0.220,-0.785,-0.194,-0.424
0.240,-0.804,-0.227,-0.429
0.260,-0.837,-0.224,-0.421
0.280,-0.899,-0.182,-0.409
0.300,-0.973,-0.124,-0.401
0.320,-1.011,-0.066,-0.405
0.340,-1.007,-0.029,-0.418
0.360,-1.035,-0.030,-0.439
0.380,-1.110,-0.058,-0.458
0.400,-1.206,-0.117,-0.498
0.420,-1.312,-0.174,-0.550
0.440,-1.371,-0.219,-0.588
0.460,-1.372,-0.242,-0.609
0.480,-1.393,-0.237,-0.616
0.500,-1.410,-0.243,-0.600
0.520,-0.969,-0.240,-0.505
0.540,-0.883,-0.252,-0.489
0.560,-0.761,-0.274,-0.446
0.580,-0.645,-0.305,-0.398
0.600,-0.431,-0.177,-0.212
0.620,-0.422,-0.133,-0.188
0.640,-0.421,-0.097,-0.174
0.660,-0.438,-0.083,-0.177
0.680,-0.851,-0.624,-0.562
0.700,-0.852,-0.590,-0.552
0.720,-0.803,-0.545,-0.518
0.740,-0.804,-0.517,-0.501
0.760,-0.839,-0.460,-0.495
0.780,-0.843,-0.443,-0.483
0.800,-0.840,-0.447,-0.472
0.820,-0.822,-0.471,-0.476
0.840,-0.801,-0.499,-0.491
0.860,-0.792,-0.513,-0.492
0.880,-0.807,-0.504,-0.489
0.900,-0.825,-0.485,-0.479
0.920,-0.826,-0.458,-0.474
0.940,-0.828,-0.438,-0.478
0.960,-0.836,-0.428,-0.488
