time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.092,-0.091,-0.880
0.020,-0.094,-0.073,-0.904
0.040,-0.089,-0.062,-0.914
0.060,-0.078,-0.060,-0.916
0.080,-0.073,-0.071,-0.896
0.100,-0.068,-0.059,-0.916
0.120,-0.061,-0.050,-0.941
0.140,-0.062,-0.057,-0.942
0.160,-0.061,-0.072,-0.944
0.180,-0.058,-0.076,-0.957
0.200,-0.065,-0.073,-0.982
0.220,-0.068,-0.066,-0.987
0.240,-0.075,-0.068,-0.960
0.260,-0.091,-0.077,-0.941
0.280,-0.121,-0.093,-0.934
0.300,-0.129,-0.102,-0.957
0.320,-0.116,-0.101,-0.998
0.340,-0.107,-0.087,-1.019
0.360,-0.096,-0.085,-1.021
0.380,-0.089,-0.084,-1.028
0.400,-0.088,-0.084,-1.023
0.420,-0.096,-0.086,-1.018
0.440,-0.097,-0.091,-1.006
0.460,-0.098,-0.094,-0.995
0.480,-0.104,-0.104,-0.960
0.500,-0.109,-0.111,-0.939
0.520,-0.100,-0.114,-0.949
0.540,-0.086,-0.113,-0.969
0.560,-0.079,-0.112,-1.004
0.580,-0.070,-0.103,-1.039
0.600,-0.061,-0.091,-1.075
0.620,-0.055,-0.081,-1.109
0.640,-0.057,-0.078,-1.121
0.660,-0.066,-0.073,-1.128
0.680,-0.066,-0.081,-1.102
0.700,-0.065,-0.104,-1.053
0.720,-0.077,-0.112,-1.071
0.740,-0.079,-0.111,-1.124
0.760,-0.064,-0.109,-1.167
0.780,-0.056,-0.106,-1.185
0.800,-0.065,-0.117,-1.174
0.820,-0.076,-0.128,-1.202
0.840,-0.090,-0.116,-1.288
0.860,-0.094,-0.106,-1.347
0.880,-0.101,-0.110,-1.335
0.900,-0.108,-0.116,-1.306
0.920,-0.112,-0.117,-1.292
0.940,-0.108,-0.118,-1.263
0.960,-0.101,-0.119,-1.215
0.980,-0.093,-0.119,-1.170
1.000,-0.083,-0.122,-1.115
1.020,-0.078,-0.124,-1.081
1.040,-0.070,-0.124,-1.078
1.060,-0.064,-0.121,-1.086
1.080,-0.064,-0.111,-1.105
1.100,-0.065,-0.102,-1.136
1.120,-0.066,-0.104,-1.122
1.140,-0.046,-0.126,-1.053
1.160,-0.056,-0.128,-1.029
1.180,-0.064,-0.126,-1.022
1.200,-0.075,-0.123,-1.024
1.220,-0.076,-0.120,-1.011
1.240,-0.066,-0.125,-0.986
1.260,-0.058,-0.126,-0.961
1.280,-0.052,-0.119,-0.955
1.300,-0.046,-0.112,-0.983
1.320,-0.055,-0.114,-0.988
1.340,-0.066,-0.112,-0.957
1.360,-0.073,-0.107,-0.919
1.380,-0.080,-0.111,-0.867
1.400,-0.086,-0.108,-0.841
1.420,-0.084,-0.099,-0.862
1.440,-0.082,-0.104,-0.903
1.460,-0.089,-0.113,-0.899
1.480,-0.092,-0.122,-0.886
1.500,-0.089,-0.124,-0.890
1.520,-0.083,-0.116,-0.904
