time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.062,-0.136,-0.905
0.020,-0.058,-0.135,-0.873
0.040,-0.057,-0.124,-0.870
0.060,-0.045,-0.116,-0.877
0.080,-0.052,-0.113,-0.860
0.100,-0.060,-0.112,-0.843
0.120,-0.056,-0.108,-0.842
0.140,-0.045,-0.097,-0.868
0.160,-0.046,-0.072,-0.896
0.180,-0.047,-0.048,-0.902
0.200,-0.038,-0.047,-0.858
0.220,-0.035,-0.051,-0.823
0.240,-0.042,-0.043,-0.858
0.260,-0.055,-0.044,-0.916
0.280,-0.079,-0.056,-0.890
0.300,-0.088,-0.086,-0.823
0.320,-0.091,-0.096,-0.774
0.340,-0.098,-0.113,-0.823
0.360,-0.083,-0.104,-0.860
0.380,-0.066,-0.096,-0.904
0.400,-0.048,-0.101,-0.949
0.420,-0.046,-0.084,-0.972
0.440,-0.035,-0.082,-1.005
0.460,-0.031,-0.095,-1.017
0.480,-0.039,-0.116,-1.016
0.500,-0.039,-0.143,-1.018
0.520,-0.038,-0.156,-1.054
0.540,-0.040,-0.153,-1.122
0.560,-0.037,-0.146,-1.143
0.580,-0.015,-0.145,-1.107
0.600,-0.009,-0.137,-1.076
0.620,-0.018,-0.110,-1.090
0.640,-0.030,-0.091,-1.122
0.660,-0.043,-0.080,-1.099
0.680,-0.043,-0.086,-1.045
0.700,-0.039,-0.103,-1.020
0.720,-0.036,-0.110,-0.999
0.740,-0.023,-0.111,-1.020
0.760,-0.023,-0.106,-1.043
0.780,-0.019,-0.103,-1.073
0.800,-0.021,-0.098,-1.086
0.820,-0.029,-0.101,-1.083
0.840,-0.047,-0.098,-1.097
0.860,-0.045,-0.100,-1.118
0.880,-0.030,-0.112,-1.116
0.900,-0.042,-0.122,-1.084
0.920,-0.044,-0.136,-1.053
0.940,-0.040,-0.146,-1.073
0.960,-0.042,-0.143,-1.106
0.980,-0.045,-0.137,-1.133
1.000,-0.050,-0.126,-1.161
1.020,-0.064,-0.119,-1.185
1.040,-0.071,-0.106,-1.200
1.060,-0.068,-0.102,-1.225
1.080,-0.027,-0.105,-1.129
1.100,-0.052,-0.151,-1.059
1.120,-0.043,-0.149,-1.059
1.140,-0.026,-0.149,-1.042
1.160,-0.010,-0.154,-1.019
1.180,-0.005,-0.156,-1.005
1.200,-0.002,-0.154,-0.988
1.220,0.008,-0.159,-0.979
1.240,0.021,-0.168,-0.940
1.260,0.012,-0.179,-0.887
1.280,-0.011,-0.203,-0.871
1.300,-0.022,-0.209,-0.888
1.320,-0.020,-0.197,-0.913
1.340,-0.005,-0.152,-0.967
1.360,0.033,-0.130,-1.080
1.380,0.035,-0.144,-1.102
1.400,-0.000,-0.140,-0.972
1.420,-0.018,-0.147,-0.843
1.440,-0.025,-0.159,-0.787
1.460,-0.027,-0.161,-0.814
1.480,-0.031,-0.155,-0.886
1.500,-0.040,-0.154,-0.933
1.520,-0.052,-0.145,-0.930
1.540,-0.055,-0.148,-0.918
1.560,-0.052,-0.163,-0.899
1.580,-0.067,-0.171,-0.904
1.600,-0.082,-0.168,-0.944
1.620,-0.072,-0.160,-0.960
1.640,-0.051,-0.156,-0.924
1.660,-0.033,-0.158,-0.869
1.680,-0.012,-0.152,-0.845
1.700,-0.003,-0.137,-0.906
1.720,-0.014,-0.131,-0.987
1.740,-0.010,-0.135,-0.988
1.760,-0.020,-0.151,-0.914
1.780,-0.043,-0.173,-0.856
1.800,-0.074,-0.172,-0.873
1.820,-0.080,-0.159,-0.953
1.840,-0.075,-0.160,-0.982
