time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.866,0.156,0.055
0.020,-0.848,0.149,0.054
0.040,-0.828,0.120,0.054
0.060,-0.818,0.089,0.065
0.080,-0.812,0.091,0.097
0.100,-0.810,0.132,0.104
0.120,-0.820,0.155,0.056
0.140,-0.852,0.129,-0.018
0.160,-0.880,0.098,-0.053
0.180,-0.876,0.104,-0.050
0.200,-0.853,0.117,-0.042
0.220,-0.826,0.130,-0.038
0.240,-0.801,0.156,-0.056
0.260,-0.802,0.161,-0.057
0.280,-0.813,0.151,-0.007
0.300,-0.837,0.141,0.031
0.320,-0.875,0.151,0.024
0.340,-0.919,0.146,-0.044
0.360,-0.948,0.145,-0.087
0.380,-0.974,0.139,-0.048
0.400,-1.009,0.119,0.038
0.420,-1.064,0.112,0.071
0.440,-1.128,0.123,0.020
0.460,-1.178,0.133,-0.049
0.480,-1.183,0.167,-0.078
0.500,-1.169,0.211,-0.064
0.520,-1.157,0.216,-0.043
0.540,-1.138,0.207,-0.004
0.560,-1.138,0.189,0.051
0.580,-1.172,0.153,0.115
0.600,-1.203,0.124,0.164
0.620,-1.193,0.153,0.184
0.640,-1.233,0.191,0.182
0.660,-1.306,0.217,0.263
0.680,-1.411,0.213,0.291
0.700,-1.543,0.200,0.162
0.720,-1.653,0.255,-0.004
0.740,-1.746,0.373,0.047
0.760,-1.907,0.364,0.231
0.780,-2.000,0.220,0.349
0.800,-2.000,0.034,0.253
0.820,-1.998,-0.111,0.130
0.840,-2.000,-0.063,0.069
0.860,-2.000,0.042,-0.015
0.880,-1.984,0.097,-0.195
0.900,-1.790,0.128,-0.399
0.920,-1.497,0.106,-0.428
0.940,-1.227,0.132,-0.240
0.960,-0.991,0.151,-0.041
0.980,-0.832,0.052,0.054
1.000,-0.716,-0.029,0.153
1.020,-0.705,-0.060,0.119
1.040,-0.823,-0.223,0.055
1.060,-0.894,-0.371,0.124
1.080,-0.902,-0.362,0.229
1.100,-0.930,-0.217,0.227
1.120,-1.075,-0.124,0.067
1.140,-1.191,-0.116,0.012
1.160,-1.206,-0.224,0.170
1.180,-1.186,-0.302,0.247
1.200,-1.134,-0.260,0.307
1.220,-1.104,-0.144,0.402
1.240,-1.126,-0.075,0.398
1.260,-1.186,-0.048,0.272
1.280,-1.161,-0.035,0.284
1.300,-1.085,0.046,0.356
1.320,-1.009,0.085,0.458
1.340,-0.940,0.112,0.578
1.360,-0.924,0.075,0.451
1.380,-0.928,0.022,0.257
1.400,-0.881,0.023,0.154
1.420,-0.766,0.092,0.169
1.440,-0.715,0.118,0.143
1.460,-0.710,0.086,0.062
1.480,-0.675,0.051,0.064
1.500,-0.580,0.081,0.167
1.520,-0.503,0.128,0.255
1.540,-0.567,0.132,0.142
1.560,-0.675,0.038,-0.002
1.580,-0.710,0.007,-0.019
1.600,-0.699,0.062,0.078
1.620,-0.687,0.118,0.250
1.640,-0.758,0.099,0.337
1.660,-0.859,-0.004,0.405
1.680,-0.915,-0.065,0.520
1.700,-0.937,-0.064,0.642
1.720,-0.988,-0.040,0.676
1.740,-1.019,0.006,0.683
1.760,-1.039,0.078,0.626
1.780,-1.059,0.159,0.502
1.800,-1.091,0.169,0.349
