time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.063,0.048,-0.915
0.020,-0.055,0.045,-0.960
0.040,-0.055,0.029,-0.989
0.060,-0.038,0.029,-0.996
0.080,-0.023,0.031,-1.006
0.100,-0.022,0.036,-1.024
0.120,-0.016,0.040,-1.046
0.140,0.008,0.047,-1.049
0.160,0.016,0.047,-1.053
0.180,0.005,0.044,-1.067
0.200,-0.009,0.026,-1.093
0.220,-0.018,-0.001,-1.120
0.240,0.004,0.016,-1.080
0.260,0.047,0.061,-1.011
0.280,0.068,0.088,-0.966
0.300,0.067,0.081,-0.960
0.320,0.071,0.069,-0.963
0.340,0.089,0.074,-0.945
0.360,0.115,0.078,-0.962
0.380,0.132,0.078,-0.982
0.400,0.110,0.057,-0.999
0.420,0.084,0.020,-1.038
0.440,0.095,0.040,-1.067
0.460,0.106,0.089,-1.053
0.480,0.083,0.080,-1.099
0.500,0.049,0.041,-1.169
0.520,0.035,0.035,-1.219
0.540,0.052,0.057,-1.221
0.560,0.076,0.067,-1.239
0.580,0.079,0.048,-1.293
0.600,0.070,0.017,-1.343
0.620,0.078,0.027,-1.348
0.640,0.092,0.049,-1.339
0.660,0.083,0.035,-1.357
0.680,0.060,0.011,-1.370
0.700,0.058,0.017,-1.329
0.720,0.073,0.040,-1.269
0.740,0.077,0.048,-1.230
0.760,0.073,0.047,-1.200
0.780,0.066,0.035,-1.172
0.800,0.063,0.027,-1.146
0.820,0.061,0.027,-1.114
0.840,0.058,0.021,-1.102
0.860,0.039,-0.003,-1.100
0.880,0.010,-0.030,-1.113
0.900,-0.010,-0.047,-1.128
0.920,-0.007,-0.035,-1.107
0.940,0.006,-0.007,-1.060
0.960,0.007,0.012,-1.030
0.980,-0.007,0.006,-1.016
1.000,-0.017,-0.011,-1.022
1.020,-0.014,-0.020,-1.030
1.040,-0.006,-0.019,-1.029
1.060,-0.002,-0.017,-1.018
1.080,-0.013,-0.030,-1.025
1.100,-0.020,-0.036,-1.023
1.120,-0.010,-0.028,-1.007
1.140,0.002,-0.016,-0.994
1.160,0.002,-0.023,-0.992
1.180,-0.001,-0.034,-0.983
1.200,0.002,-0.029,-0.965
1.220,0.003,-0.017,-0.943
1.240,-0.006,-0.024,-0.947
1.260,-0.032,-0.051,-0.986
1.280,-0.052,-0.065,-1.004
1.300,-0.049,-0.058,-0.975
1.320,-0.039,-0.040,-0.911
1.340,-0.032,-0.037,-0.858
1.360,-0.023,-0.022,-0.819
1.380,-0.019,-0.017,-0.801
1.400,-0.019,-0.010,-0.792
1.420,-0.008,0.005,-0.782
1.440,-0.005,-0.002,-0.805
1.460,-0.014,-0.029,-0.869
1.480,-0.020,-0.053,-0.908
1.500,-0.024,-0.068,-0.913
1.520,-0.020,-0.061,-0.868
1.540,-0.009,-0.052,-0.818
1.560,-0.022,-0.066,-0.849
1.580,-0.056,-0.089,-0.891
1.600,-0.062,-0.079,-0.870
1.620,-0.025,-0.032,-0.774
1.640,0.020,0.017,-0.705
1.660,0.031,0.021,-0.759
1.680,0.000,-0.015,-0.883
1.700,-0.027,-0.038,-0.979
1.720,-0.034,-0.043,-1.026
1.740,-0.038,-0.049,-1.059
1.760,-0.043,-0.057,-1.085
1.780,-0.044,-0.052,-1.080
1.800,-0.034,-0.034,-1.044
1.820,-0.026,-0.017,-0.997
1.840,-0.025,-0.006,-0.969
1.860,-0.030,-0.001,-0.964
1.880,-0.041,-0.010,-0.987
1.900,-0.051,-0.018,-1.006
1.920,-0.051,-0.025,-1.007
1.940,-0.049,-0.037,-1.015
1.960,-0.045,-0.044,-1.010
1.980,-0.041,-0.041,-1.000
2.000,-0.043,-0.039,-1.000
2.020,-0.042,-0.033,-0.987
2.040,-0.038,-0.030,-0.986
2.060,-0.035,-0.036,-0.987
2.080,-0.033,-0.046,-0.999
