time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.179,0.208,-0.457
0.020,-0.167,0.298,-0.546
0.040,-0.126,0.393,-0.600
0.060,-0.162,0.360,-0.652
0.080,-0.344,0.151,-0.855
0.100,-0.435,0.156,-1.104
0.120,-0.318,0.431,-1.170
0.140,-0.133,0.536,-1.229
0.160,-0.212,0.276,-1.300
0.180,-0.215,0.376,-1.276
0.200,-0.209,1.096,-1.468
0.220,-0.322,1.266,-1.846
0.240,-0.262,0.614,-1.767
0.260,-0.409,0.284,-1.784
0.280,-0.718,0.328,-2.000
0.300,-0.737,0.409,-2.000
0.320,-0.568,0.336,-1.995
0.340,-0.573,0.059,-2.000
0.360,-0.665,-0.171,-2.000
0.380,-0.599,0.003,-2.000
0.400,-0.491,0.382,-1.997
0.420,-0.326,0.530,-1.930
0.440,-0.206,0.138,-1.685
0.460,-0.203,-0.094,-1.306
0.480,-0.069,-0.081,-0.979
0.500,0.046,0.129,-0.673
0.520,0.226,0.549,-0.549
0.540,0.191,0.740,-0.550
0.560,-0.097,0.445,-0.712
0.580,-0.385,0.060,-0.773
0.600,-0.482,-0.056,-0.680
0.620,-0.334,-0.056,-0.603
0.640,-0.231,-0.009,-0.517
0.660,-0.431,0.040,-0.489
0.680,-0.569,-0.131,-0.381
0.700,-0.336,-0.213,-0.492
0.720,-0.277,-0.143,-0.626
0.740,-0.225,0.155,-0.703
0.760,-0.278,0.369,-0.723
0.780,-0.350,0.270,-0.878
0.800,-0.478,0.016,-1.061
0.820,-0.530,0.020,-1.108
0.840,-0.401,0.154,-1.096
0.860,-0.427,0.365,-1.008
0.880,-0.664,0.359,-0.944
0.900,-0.926,0.043,-1.076
0.920,-0.741,0.038,-0.984
0.940,-0.352,0.300,-0.769
0.960,-0.187,0.453,-0.640
0.980,-0.324,0.451,-0.586
1.000,-0.466,0.264,-0.653
1.020,-0.527,0.093,-0.763
1.040,-0.466,0.076,-0.807
1.060,-0.355,0.133,-0.777
1.080,-0.228,0.117,-0.775
1.100,-0.363,0.078,-0.782
1.120,-0.461,0.218,-0.761
1.140,-0.400,0.446,-0.768
1.160,-0.370,0.589,-0.774
1.180,-0.455,0.521,-0.791
1.200,-0.510,0.295,-0.789
1.220,-0.519,0.031,-0.771
1.240,-0.589,-0.184,-0.713
1.260,-0.579,-0.169,-0.661
1.280,-0.555,-0.003,-0.691
1.300,-0.563,0.104,-0.817
1.320,-0.612,0.164,-0.942
1.340,-0.629,0.227,-0.966
