time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.105,0.036,-1.001
0.020,-0.100,0.025,-0.966
0.040,-0.100,0.025,-0.943
0.060,-0.093,0.023,-0.926
0.080,-0.081,0.020,-0.897
0.100,-0.076,0.008,-0.859
0.120,-0.062,-0.010,-0.832
0.140,-0.060,-0.016,-0.827
0.160,-0.061,-0.013,-0.849
0.180,-0.065,-0.014,-0.845
0.200,-0.076,-0.026,-0.843
0.220,-0.087,-0.036,-0.849
0.240,-0.087,-0.030,-0.875
0.260,-0.085,-0.017,-0.917
0.280,-0.093,-0.015,-0.924
0.300,-0.095,-0.013,-0.923
0.320,-0.094,-0.020,-0.924
0.340,-0.102,-0.031,-0.914
0.360,-0.104,-0.035,-0.940
0.380,-0.099,-0.039,-0.964
0.400,-0.090,-0.048,-0.962
0.420,-0.086,-0.052,-0.965
0.440,-0.092,-0.053,-1.000
0.460,-0.099,-0.057,-1.029
0.480,-0.104,-0.052,-1.058
0.500,-0.107,-0.046,-1.108
0.520,-0.123,-0.039,-1.116
0.540,-0.123,-0.050,-1.104
0.560,-0.121,-0.059,-1.083
0.580,-0.121,-0.061,-1.083
0.600,-0.118,-0.057,-1.095
0.620,-0.109,-0.062,-1.099
0.640,-0.102,-0.067,-1.087
0.660,-0.093,-0.067,-1.081
0.680,-0.081,-0.065,-1.090
0.700,-0.080,-0.058,-1.105
0.720,-0.077,-0.053,-1.129
0.740,-0.081,-0.048,-1.145
0.760,-0.083,-0.039,-1.163
0.780,-0.082,-0.044,-1.164
0.800,-0.092,-0.051,-1.156
0.820,-0.103,-0.056,-1.142
0.840,-0.105,-0.057,-1.148
0.860,-0.102,-0.060,-1.147
0.880,-0.096,-0.064,-1.157
0.900,-0.090,-0.063,-1.176
0.920,-0.083,-0.069,-1.178
0.940,-0.077,-0.073,-1.190
0.960,-0.069,-0.075,-1.197
0.980,-0.060,-0.078,-1.197
1.000,-0.046,-0.075,-1.218
1.020,-0.041,-0.072,-1.219
1.040,-0.037,-0.082,-1.184
1.060,-0.038,-0.085,-1.167
1.080,-0.043,-0.069,-1.176
1.100,-0.054,-0.058,-1.184
1.120,-0.067,-0.061,-1.152
1.140,-0.072,-0.078,-1.093
1.160,-0.077,-0.096,-1.046
1.180,-0.084,-0.084,-1.040
1.200,-0.088,-0.070,-1.081
1.220,-0.091,-0.067,-1.102
1.240,-0.092,-0.069,-1.072
1.260,-0.091,-0.073,-1.042
1.280,-0.095,-0.069,-1.023
1.300,-0.096,-0.065,-1.021
1.320,-0.082,-0.072,-1.027
1.340,-0.074,-0.081,-1.009
1.360,-0.076,-0.088,-0.970
1.380,-0.081,-0.095,-0.954
1.400,-0.082,-0.089,-0.974
1.420,-0.085,-0.073,-1.035
1.440,-0.080,-0.066,-1.073
1.460,-0.074,-0.080,-1.029
1.480,-0.070,-0.096,-0.952
1.500,-0.072,-0.094,-0.938
1.520,-0.072,-0.060,-1.006
1.540,-0.067,-0.026,-1.090
1.560,-0.062,-0.027,-1.102
1.580,-0.071,-0.055,-1.040
1.600,-0.090,-0.076,-0.946
1.620,-0.104,-0.072,-0.911
1.640,-0.100,-0.040,-0.938
1.660,-0.091,-0.008,-1.028
1.680,-0.097,-0.013,-1.023
1.700,-0.103,-0.039,-0.918
1.720,-0.104,-0.059,-0.846
1.740,-0.115,-0.044,-0.878
1.760,-0.122,-0.011,-0.945
1.780,-0.116,-0.009,-0.948
1.800,-0.108,-0.042,-0.868
1.820,-0.094,-0.081,-0.775
1.840,-0.091,-0.086,-0.785
1.860,-0.091,-0.071,-0.881
1.880,-0.101,-0.062,-0.959
1.900,-0.115,-0.069,-0.913
1.920,-0.113,-0.089,-0.879
1.940,-0.109,-0.093,-0.873
1.960,-0.119,-0.081,-0.905
1.980,-0.124,-0.072,-0.946
2.000,-0.123,-0.080,-0.955
2.020,-0.123,-0.094,-0.923
2.040,-0.121,-0.097,-0.912
2.060,-0.119,-0.076,-0.951
2.080,-0.110,-0.056,-1.012
2.100,-0.098,-0.061,-1.022
2.120,-0.090,-0.080,-0.964
2.140,-0.086,-0.096,-0.920
2.160,-0.096,-0.097,-0.943
2.180,-0.106,-0.087,-0.993
2.200,-0.108,-0.089,-1.022
2.220,-0.106,-0.097,-1.000
2.240,-0.110,-0.116,-0.961
2.260,-0.113,-0.129,-0.924
2.280,-0.111,-0.121,-0.943
2.300,-0.104,-0.107,-0.991
2.320,-0.094,-0.094,-1.023
2.340,-0.084,-0.090,-1.025
2.360,-0.078,-0.094,-0.997
2.380,-0.079,-0.106,-0.977
2.400,-0.078,-0.107,-0.972
2.420,-0.081,-0.102,-1.003
2.440,-0.093,-0.101,-1.014
2.460,-0.105,-0.105,-1.004
2.480,-0.114,-0.112,-0.982
2.500,-0.122,-0.111,-0.970
2.520,-0.124,-0.109,-0.972
2.540,-0.128,-0.098,-0.995
2.560,-0.131,-0.089,-1.025
2.580,-0.134,-0.080,-1.041
2.600,-0.128,-0.086,-1.026
