time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.284,0.358,-0.561
0.020,-0.318,0.378,-0.428
0.040,-0.384,0.398,-0.353
0.060,-0.435,0.415,-0.395
0.080,-0.437,0.379,-0.457
0.100,-0.392,0.271,-0.479
0.120,-0.324,0.213,-0.474
0.140,-0.265,0.179,-0.470
0.160,-0.187,0.172,-0.474
0.180,-0.118,0.201,-0.503
0.200,-0.071,0.208,-0.546
0.220,-0.027,0.180,-0.568
0.240,0.019,0.142,-0.554
0.260,0.050,0.080,-0.532
0.280,0.029,0.085,-0.554
0.300,-0.030,0.074,-0.648
0.320,-0.083,0.044,-0.780
0.340,-0.121,0.048,-0.927
0.360,-0.155,0.179,-1.050
0.380,-0.256,0.282,-1.119
0.400,-0.346,0.220,-1.130
0.420,-0.348,0.085,-1.083
0.440,-0.308,-0.009,-1.001
0.460,-0.261,-0.059,-0.953
0.480,-0.171,0.022,-1.032
0.500,-0.121,0.180,-1.204
0.520,-0.254,0.218,-1.340
0.540,-0.334,0.170,-1.428
0.560,-0.323,0.199,-1.491
0.580,-0.120,0.389,-1.602
0.600,-0.135,0.316,-1.727
0.620,-0.430,-0.067,-1.913
0.640,-0.469,-0.185,-2.000
0.660,-0.289,-0.046,-2.000
0.680,-0.329,0.169,-1.998
0.700,-0.303,0.616,-2.000
0.720,-0.027,0.585,-2.000
0.740,-0.045,0.206,-1.998
0.760,-0.083,0.050,-1.973
0.780,-0.068,-0.009,-1.973
0.800,0.074,0.131,-1.877
0.820,0.171,0.206,-1.833
0.840,0.016,-0.037,-1.852
0.860,-0.229,-0.262,-1.701
0.880,-0.049,-0.106,-1.349
0.900,0.181,0.048,-1.006
0.920,0.135,0.062,-0.699
0.940,0.003,-0.004,-0.448
0.960,-0.087,-0.033,-0.329
0.980,-0.117,0.021,-0.432
1.000,-0.181,0.066,-0.555
1.020,-0.221,0.068,-0.585
1.040,-0.297,0.003,-0.606
1.060,-0.346,-0.084,-0.573
1.080,-0.224,0.008,-0.489
1.100,-0.153,0.129,-0.475
1.120,-0.065,0.152,-0.602
1.140,0.020,0.274,-0.801
1.160,-0.064,0.541,-0.956
1.180,-0.299,0.772,-0.942
1.200,-0.446,0.719,-0.867
1.220,-0.477,0.560,-0.806
1.240,-0.304,0.380,-0.727
1.260,-0.149,0.361,-0.712
1.280,-0.206,0.450,-0.719
1.300,-0.328,0.406,-0.752
1.320,-0.366,0.202,-0.802
1.340,-0.309,0.094,-0.753
1.360,-0.212,0.140,-0.745
1.380,-0.185,0.203,-0.811
1.400,-0.205,0.229,-0.894
1.420,-0.238,0.181,-0.975
1.440,-0.232,0.100,-0.987
1.460,-0.149,0.095,-0.921
1.480,-0.093,0.123,-0.867
1.500,-0.102,0.175,-0.851
1.520,-0.129,0.238,-0.860
1.540,-0.136,0.292,-0.876
1.560,-0.160,0.301,-0.888
1.580,-0.200,0.277,-0.903
