time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.595,0.274,0.195
0.020,-0.599,0.153,0.242
0.040,-0.629,0.149,0.287
0.060,-0.717,0.270,0.299
0.080,-0.817,0.354,0.302
0.100,-0.953,0.274,0.366
0.120,-1.074,0.141,0.452
0.140,-1.186,0.081,0.478
0.160,-1.235,0.097,0.479
0.180,-1.123,0.176,0.595
0.200,-0.942,0.305,0.709
0.220,-0.979,0.400,0.691
0.240,-1.182,0.352,0.664
0.260,-1.258,0.316,0.731
0.280,-1.207,0.466,0.831
0.300,-1.281,0.477,1.007
0.320,-1.518,0.355,1.234
0.340,-1.836,0.325,1.220
0.360,-2.000,0.430,1.133
0.380,-1.887,0.671,1.361
0.400,-1.895,0.355,1.697
0.420,-2.000,-0.052,1.583
0.440,-2.000,-0.100,1.089
0.460,-1.998,0.511,0.702
0.480,-1.980,1.192,0.568
0.500,-1.666,1.245,0.422
0.520,-1.227,0.800,0.301
0.540,-0.935,0.186,0.361
0.560,-0.624,-0.169,0.599
0.580,-0.548,-0.125,0.651
0.600,-0.529,0.241,0.496
0.620,-0.583,0.065,0.508
0.640,-0.795,-0.279,0.513
0.660,-0.755,-0.285,0.619
0.680,-0.809,-0.243,0.693
0.700,-0.999,-0.158,0.652
0.720,-0.982,0.089,0.664
0.740,-0.908,-0.129,0.845
0.760,-1.096,-0.408,0.846
0.780,-1.245,-0.362,0.644
0.800,-1.105,-0.130,0.561
0.820,-0.935,0.047,0.609
0.840,-0.747,0.211,0.634
0.860,-0.694,0.261,0.584
0.880,-0.693,0.245,0.445
0.900,-0.597,0.214,0.335
0.920,-0.401,0.196,0.315
0.940,-0.326,0.169,0.313
0.960,-0.363,0.168,0.241
0.980,-0.467,0.211,0.086
1.000,-0.504,0.190,0.066
1.020,-0.464,0.108,0.225
1.040,-0.512,0.055,0.301
1.060,-0.609,-0.043,0.288
1.080,-0.591,-0.123,0.288
1.100,-0.510,-0.154,0.405
1.120,-0.320,-0.265,0.600
1.140,-0.149,-0.468,0.833
1.160,-0.069,-0.687,1.127
1.180,-0.132,-0.747,1.260
1.200,-0.226,-0.624,1.167
1.220,-0.248,-0.475,1.137
1.240,-0.214,-0.351,1.208
1.260,-0.255,-0.250,1.144
1.280,-0.434,-0.132,0.919
1.300,-0.657,-0.007,0.683
1.320,-0.762,0.074,0.571
1.340,-0.791,0.026,0.581
