time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.843,0.418,0.155
0.020,-0.882,0.397,0.152
0.040,-0.965,0.377,0.082
0.060,-0.994,0.367,0.109
0.080,-0.993,0.409,0.143
0.100,-1.050,0.427,0.170
0.120,-1.112,0.424,0.237
0.140,-1.176,0.452,0.330
0.160,-1.241,0.587,0.267
0.180,-1.360,0.626,0.143
0.200,-1.377,0.531,0.157
0.220,-1.411,0.573,0.179
0.240,-1.509,0.594,0.168
0.260,-1.582,0.780,0.150
0.280,-1.727,0.886,0.125
0.300,-1.927,0.732,0.165
0.320,-2.000,0.688,0.204
0.340,-2.000,0.734,0.193
0.360,-1.998,0.825,0.096
0.380,-1.991,0.921,-0.021
0.400,-1.850,0.925,-0.089
0.420,-1.610,0.897,-0.202
0.440,-1.432,0.857,-0.331
0.460,-1.377,0.834,-0.475
0.480,-1.337,0.835,-0.578
0.500,-1.260,0.528,-0.580
0.520,-1.108,0.117,-0.401
0.540,-0.891,-0.146,-0.210
0.560,-0.785,-0.153,-0.050
0.580,-0.707,0.118,-0.049
0.600,-0.617,0.328,-0.122
0.620,-0.597,0.294,-0.084
0.640,-0.647,0.253,0.027
0.660,-0.823,0.294,0.005
0.680,-0.945,0.214,-0.021
0.700,-0.911,0.203,0.124
0.720,-1.026,0.142,0.326
0.740,-1.311,-0.044,0.301
0.760,-1.520,-0.015,0.137
0.780,-1.607,0.306,-0.036
0.800,-1.748,0.464,-0.230
0.820,-1.547,0.494,-0.186
0.840,-1.156,0.397,-0.029
0.860,-0.923,0.367,0.024
0.880,-0.720,0.492,0.068
0.900,-0.583,0.522,0.135
0.920,-0.539,0.380,0.115
0.940,-0.469,0.239,0.141
0.960,-0.360,0.154,0.204
0.980,-0.347,0.145,0.268
1.000,-0.423,0.162,0.225
1.020,-0.604,0.169,0.087
1.040,-0.691,0.143,0.073
1.060,-0.677,0.122,0.081
1.080,-0.676,0.121,0.106
1.100,-0.719,0.110,0.173
1.120,-0.747,0.045,0.287
1.140,-0.844,-0.069,0.350
1.160,-0.966,-0.204,0.383
1.180,-0.995,-0.241,0.488
1.200,-0.925,-0.162,0.672
1.220,-0.824,0.014,0.732
1.240,-0.836,0.172,0.620
1.260,-0.901,0.263,0.474
1.280,-0.968,0.346,0.306
1.300,-1.023,0.379,0.263
