time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.598,0.047,-0.860
0.020,-0.598,0.047,-0.862
0.040,-0.599,0.056,-0.861
0.060,-0.593,0.063,-0.852
0.080,-0.588,0.062,-0.844
0.100,-0.588,0.062,-0.838
0.120,-0.591,0.059,-0.838
0.140,-0.589,0.042,-0.830
0.160,-0.584,0.040,-0.823
0.180,-0.578,0.038,-0.819
0.200,-0.579,0.033,-0.829
0.220,-0.577,0.036,-0.836
0.240,-0.578,0.046,-0.838
0.260,-0.574,0.046,-0.843
0.280,-0.573,0.032,-0.863
0.300,-0.573,0.015,-0.868
0.320,-0.565,0.007,-0.844
0.340,-0.541,0.010,-0.794
0.360,-0.522,0.022,-0.750
0.380,-0.505,0.076,-0.711
0.400,-0.472,0.109,-0.660
0.420,-0.434,0.068,-0.604
0.440,-0.420,0.037,-0.595
0.460,-0.408,0.035,-0.617
0.480,-0.430,0.020,-0.612
0.500,-0.452,0.031,-0.606
0.520,-0.439,0.037,-0.623
0.540,-0.470,0.040,-0.627
0.560,-0.471,0.045,-0.643
0.580,-0.490,0.061,-0.708
0.600,-0.485,0.097,-0.751
0.620,-0.478,0.098,-0.709
0.640,-0.519,0.083,-0.726
0.660,-0.573,0.047,-0.771
0.680,-0.585,0.019,-0.833
0.700,-0.618,0.027,-0.892
0.720,-0.596,0.067,-0.943
0.740,-0.605,0.134,-0.941
0.760,-0.673,0.141,-0.845
0.780,-0.716,0.026,-0.703
0.800,-0.714,-0.014,-0.671
0.820,-0.639,0.057,-0.744
0.840,-0.548,0.121,-0.832
0.860,-0.529,0.119,-0.877
0.880,-0.647,0.102,-0.814
0.900,-0.672,0.065,-0.777
0.920,-0.669,0.083,-0.854
0.940,-0.577,0.226,-0.870
0.960,-0.488,0.353,-0.853
0.980,-0.454,0.337,-0.981
1.000,-0.508,0.219,-1.188
1.020,-0.660,0.130,-1.203
1.040,-0.690,0.163,-1.134
1.060,-0.595,0.290,-1.148
1.080,-0.454,0.400,-1.145
1.100,-0.514,0.288,-1.246
1.120,-0.669,0.149,-1.469
1.140,-0.696,0.122,-1.489
1.160,-0.678,0.231,-1.419
1.180,-0.657,0.320,-1.404
1.200,-0.696,0.194,-1.486
1.220,-0.794,0.101,-1.583
1.240,-0.872,0.128,-1.571
1.260,-0.836,0.164,-1.474
1.280,-0.769,0.198,-1.404
1.300,-0.722,0.211,-1.346
1.320,-0.693,0.141,-1.284
1.340,-0.695,0.018,-1.211
1.360,-0.675,-0.113,-1.130
1.380,-0.619,-0.125,-1.040
1.400,-0.588,-0.052,-0.974
1.420,-0.595,-0.018,-0.917
1.440,-0.582,-0.009,-0.921
1.460,-0.530,-0.050,-0.909
1.480,-0.581,-0.095,-0.861
1.500,-0.568,-0.073,-0.877
1.520,-0.562,-0.012,-0.883
1.540,-0.542,0.059,-0.871
1.560,-0.536,0.039,-0.796
1.580,-0.578,0.009,-0.780
1.600,-0.576,0.031,-0.782
1.620,-0.606,0.051,-0.826
1.640,-0.639,0.132,-0.889
1.660,-0.630,0.082,-0.926
1.680,-0.612,-0.073,-0.909
1.700,-0.574,-0.150,-0.886
1.720,-0.578,-0.115,-0.911
1.740,-0.590,-0.014,-0.966
1.760,-0.550,-0.033,-0.934
1.780,-0.489,-0.123,-0.850
1.800,-0.439,-0.089,-0.782
1.820,-0.396,0.081,-0.758
1.840,-0.406,0.163,-0.751
1.860,-0.418,0.061,-0.706
1.880,-0.374,-0.131,-0.649
1.900,-0.331,-0.172,-0.637
1.920,-0.354,0.020,-0.682
1.940,-0.400,0.228,-0.732
1.960,-0.407,0.282,-0.706
1.980,-0.351,0.053,-0.559
2.000,-0.355,0.041,-0.513
2.020,-0.390,0.158,-0.646
2.040,-0.447,0.204,-0.721
2.060,-0.454,0.243,-0.697
2.080,-0.488,0.217,-0.671
2.100,-0.499,0.131,-0.704
2.120,-0.537,0.122,-0.743
2.140,-0.556,0.100,-0.805
2.160,-0.577,0.031,-0.899
2.180,-0.610,-0.005,-1.002
2.200,-0.633,-0.024,-1.047
2.220,-0.628,-0.037,-1.019
2.240,-0.592,-0.003,-0.968
2.260,-0.574,0.055,-0.928
2.280,-0.575,0.116,-0.902
2.300,-0.563,0.155,-0.878
2.320,-0.554,0.174,-0.857
2.340,-0.558,0.175,-0.860
2.360,-0.563,0.151,-0.859
2.380,-0.554,0.105,-0.826
2.400,-0.555,0.056,-0.805
2.420,-0.568,0.050,-0.828
2.440,-0.576,0.056,-0.842
2.460,-0.584,0.068,-0.847
2.480,-0.590,0.086,-0.842
2.500,-0.596,0.092,-0.824
2.520,-0.608,0.088,-0.822
2.540,-0.617,0.064,-0.812
2.560,-0.620,0.056,-0.814
2.580,-0.631,0.067,-0.838
2.600,-0.639,0.074,-0.840
2.620,-0.640,0.088,-0.843
2.640,-0.641,0.090,-0.851
2.660,-0.642,0.101,-0.858
