time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.517,0.478,0.654
0.020,-0.526,0.483,0.658
0.040,-0.553,0.496,0.614
0.060,-0.577,0.490,0.607
0.080,-0.589,0.463,0.647
0.100,-0.614,0.448,0.650
0.120,-0.629,0.465,0.605
0.140,-0.613,0.485,0.610
0.160,-0.581,0.493,0.668
0.180,-0.571,0.521,0.661
0.200,-0.615,0.557,0.609
0.220,-0.642,0.526,0.618
0.240,-0.647,0.440,0.649
0.260,-0.691,0.391,0.656
0.280,-0.732,0.388,0.677
0.300,-0.722,0.449,0.706
0.320,-0.684,0.532,0.743
0.340,-0.641,0.573,0.765
0.360,-0.635,0.594,0.765
0.380,-0.657,0.620,0.800
0.400,-0.654,0.625,0.882
0.420,-0.639,0.582,0.947
0.440,-0.623,0.588,0.958
0.460,-0.627,0.638,0.860
0.480,-0.609,0.614,0.780
0.500,-0.566,0.505,0.770
0.520,-0.540,0.449,0.716
0.540,-0.534,0.405,0.596
0.560,-0.518,0.326,0.592
0.580,-0.527,0.279,0.617
0.600,-0.554,0.294,0.642
0.620,-0.571,0.358,0.720
0.640,-0.584,0.427,0.804
0.660,-0.603,0.485,0.853
0.680,-0.633,0.529,0.865
0.700,-0.635,0.548,0.889
0.720,-0.593,0.548,0.895
0.740,-0.558,0.497,0.821
0.760,-0.521,0.443,0.744
0.780,-0.486,0.403,0.696
0.800,-0.466,0.391,0.699
0.820,-0.449,0.408,0.722
0.840,-0.432,0.435,0.734
0.860,-0.432,0.434,0.724
0.880,-0.457,0.455,0.700
0.900,-0.525,0.482,0.707
0.920,-0.564,0.455,0.704
0.940,-0.579,0.442,0.754
0.960,-0.598,0.439,0.725
0.980,-0.600,0.471,0.655
1.000,-0.561,0.470,0.660
1.020,-0.552,0.467,0.695
1.040,-0.587,0.491,0.702
1.060,-0.622,0.504,0.705
1.080,-0.633,0.506,0.745
1.100,-0.635,0.506,0.773
1.120,-0.650,0.480,0.767
1.140,-0.685,0.459,0.794
1.160,-0.739,0.500,0.860
1.180,-0.743,0.564,0.878
1.200,-0.725,0.572,0.869
1.220,-0.719,0.509,0.852
1.240,-0.719,0.410,0.804
1.260,-0.740,0.375,0.784
1.280,-0.730,0.421,0.720
1.300,-0.661,0.493,0.690
1.320,-0.561,0.493,0.678
1.340,-0.508,0.470,0.596
1.360,-0.484,0.518,0.551
1.380,-0.447,0.571,0.597
1.400,-0.411,0.587,0.671
1.420,-0.409,0.600,0.677
1.440,-0.467,0.588,0.631
1.460,-0.546,0.555,0.642
1.480,-0.559,0.540,0.744
1.500,-0.566,0.593,0.831
1.520,-0.586,0.629,0.803
1.540,-0.591,0.551,0.715
1.560,-0.581,0.467,0.653
1.580,-0.564,0.441,0.630
1.600,-0.546,0.433,0.606
1.620,-0.557,0.425,0.555
1.640,-0.570,0.415,0.547
1.660,-0.578,0.427,0.584
1.680,-0.604,0.471,0.611
1.700,-0.633,0.498,0.603
1.720,-0.668,0.494,0.584
1.740,-0.688,0.466,0.634
1.760,-0.695,0.407,0.719
1.780,-0.759,0.412,0.692
1.800,-0.801,0.450,0.512
1.820,-0.714,0.382,0.540
1.840,-0.669,0.406,0.671
1.860,-0.730,0.518,0.734
1.880,-0.728,0.577,0.788
1.900,-0.707,0.613,0.750
1.920,-0.694,0.596,0.693
