time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.577,0.476,0.623
0.020,-0.567,0.476,0.645
0.040,-0.587,0.475,0.638
0.060,-0.611,0.490,0.650
0.080,-0.618,0.538,0.690
0.100,-0.620,0.591,0.706
0.120,-0.676,0.648,0.710
0.140,-0.745,0.691,0.737
0.160,-0.786,0.698,0.740
0.180,-0.760,0.703,0.747
0.200,-0.701,0.738,0.756
0.220,-0.683,0.745,0.677
0.240,-0.655,0.682,0.537
0.260,-0.589,0.589,0.449
0.280,-0.533,0.505,0.436
0.300,-0.510,0.472,0.428
0.320,-0.547,0.528,0.398
0.340,-0.604,0.619,0.390
0.360,-0.604,0.649,0.494
0.380,-0.621,0.666,0.605
0.400,-0.707,0.702,0.621
0.420,-0.792,0.719,0.612
0.440,-0.823,0.723,0.615
0.460,-0.740,0.686,0.646
0.480,-0.616,0.655,0.620
0.500,-0.542,0.640,0.517
0.520,-0.498,0.597,0.430
0.540,-0.467,0.575,0.418
0.560,-0.475,0.607,0.445
0.580,-0.504,0.617,0.487
0.600,-0.570,0.597,0.510
0.620,-0.669,0.627,0.515
0.640,-0.712,0.636,0.536
0.660,-0.707,0.646,0.551
0.680,-0.697,0.653,0.552
0.700,-0.674,0.627,0.530
0.720,-0.649,0.627,0.495
0.740,-0.633,0.626,0.465
0.760,-0.620,0.617,0.465
0.780,-0.610,0.636,0.512
0.800,-0.652,0.683,0.513
0.820,-0.759,0.731,0.480
0.840,-0.823,0.725,0.551
0.860,-0.829,0.656,0.684
0.880,-0.821,0.636,0.800
0.900,-0.806,0.699,0.847
0.920,-0.766,0.714,0.849
0.940,-0.725,0.690,0.808
0.960,-0.678,0.660,0.752
0.980,-0.620,0.595,0.716
1.000,-0.585,0.512,0.659
1.020,-0.551,0.479,0.580
1.040,-0.513,0.444,0.543
1.060,-0.505,0.418,0.554
1.080,-0.525,0.429,0.588
1.100,-0.547,0.463,0.634
1.120,-0.578,0.503,0.703
1.140,-0.565,0.573,0.767
1.160,-0.589,0.660,0.731
1.180,-0.619,0.718,0.658
1.200,-0.721,0.654,0.573
1.220,-0.773,0.607,0.641
1.240,-0.790,0.506,0.532
1.260,-0.742,0.471,0.495
1.280,-0.704,0.473,0.448
1.300,-0.662,0.454,0.434
1.320,-0.638,0.476,0.457
1.340,-0.621,0.602,0.410
1.360,-0.623,0.693,0.440
1.380,-0.594,0.717,0.510
1.400,-0.588,0.730,0.431
1.420,-0.611,0.671,0.361
1.440,-0.642,0.610,0.356
1.460,-0.715,0.580,0.343
1.480,-0.773,0.534,0.372
1.500,-0.860,0.544,0.381
1.520,-0.977,0.604,0.335
1.540,-1.044,0.603,0.330
1.560,-1.050,0.534,0.342
1.580,-1.036,0.475,0.320
1.600,-1.026,0.474,0.327
1.620,-1.042,0.511,0.427
1.640,-0.970,0.534,0.482
1.660,-0.895,0.565,0.466
1.680,-0.839,0.618,0.462
1.700,-0.778,0.695,0.503
1.720,-0.716,0.724,0.496
1.740,-0.601,0.709,0.494
1.760,-0.486,0.684,0.524
1.780,-0.438,0.671,0.568
1.800,-0.468,0.669,0.537
1.820,-0.494,0.635,0.499
1.840,-0.556,0.633,0.487
1.860,-0.607,0.685,0.565
1.880,-0.620,0.707,0.645
1.900,-0.651,0.681,0.630
1.920,-0.684,0.635,0.557
1.940,-0.669,0.579,0.513
1.960,-0.632,0.564,0.483
1.980,-0.626,0.580,0.416
