time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.388,0.625,0.618
0.020,-0.391,0.614,0.636
0.040,-0.390,0.626,0.673
0.060,-0.399,0.648,0.708
0.080,-0.387,0.656,0.745
0.100,-0.357,0.643,0.770
0.120,-0.339,0.608,0.763
0.140,-0.304,0.607,0.774
0.160,-0.321,0.637,0.737
0.180,-0.385,0.674,0.718
0.200,-0.303,0.698,0.767
0.220,-0.270,0.669,0.811
0.240,-0.222,0.665,0.830
0.260,-0.212,0.676,0.851
0.280,-0.188,0.703,0.855
0.300,-0.162,0.670,0.758
0.320,-0.191,0.685,0.881
0.340,-0.193,0.661,0.912
0.360,-0.121,0.717,0.906
0.380,-0.170,0.750,0.808
0.400,-0.260,0.743,0.762
0.420,-0.299,0.747,0.683
0.440,-0.227,0.694,0.770
0.460,-0.146,0.639,0.976
0.480,-0.212,0.749,0.917
0.500,-0.270,0.816,0.703
0.520,-0.141,0.750,0.756
0.540,-0.152,0.865,0.885
0.560,-0.428,1.015,0.551
0.580,-0.372,0.518,0.751
0.600,-0.346,0.689,0.818
0.620,-0.531,1.098,0.477
0.640,-0.440,0.746,0.712
0.660,-0.554,0.822,0.292
0.680,-0.423,0.885,0.367
0.700,-0.393,0.986,0.410
0.720,-0.429,1.016,0.233
0.740,-0.450,0.939,0.130
0.760,-0.438,0.910,0.090
0.780,-0.415,1.015,0.048
0.800,-0.433,1.049,0.122
0.820,-0.474,0.848,-0.015
0.840,-0.504,0.896,-0.052
0.860,-0.497,0.882,-0.027
0.880,-0.430,0.919,-0.130
0.900,-0.477,0.857,-0.136
0.920,-0.537,0.748,-0.221
0.940,-0.536,0.826,-0.204
0.960,-0.483,0.799,-0.273
0.980,-0.459,0.788,-0.336
1.000,-0.473,0.798,-0.345
1.020,-0.478,0.691,-0.414
1.040,-0.478,0.705,-0.524
1.060,-0.495,0.685,-0.470
1.080,-0.453,0.671,-0.500
1.100,-0.493,0.658,-0.572
1.120,-0.493,0.654,-0.648
1.140,-0.465,0.516,-0.711
1.160,-0.386,0.542,-0.732
1.180,-0.385,0.525,-0.708
1.200,-0.424,0.449,-0.743
1.220,-0.409,0.305,-0.731
1.240,-0.329,0.381,-0.814
1.260,-0.342,0.373,-0.845
1.280,-0.375,0.312,-0.847
1.300,-0.388,0.281,-0.829
1.320,-0.275,0.297,-0.877
1.340,-0.270,0.291,-0.924
1.360,-0.370,0.199,-0.976
1.380,-0.417,0.170,-0.955
1.400,-0.331,0.148,-0.945
1.420,-0.279,0.099,-0.869
1.440,-0.263,0.095,-0.927
1.460,-0.207,0.129,-0.930
1.480,-0.099,0.153,-0.929
1.500,-0.116,0.121,-0.963
1.520,-0.083,0.076,-0.937
1.540,0.026,0.139,-0.938
1.560,-0.025,0.034,-1.031
1.580,0.050,0.034,-1.073
1.600,0.070,0.051,-1.028
1.620,0.079,0.098,-0.971
1.640,0.014,0.086,-1.011
1.660,0.029,0.105,-0.892
1.680,0.070,0.143,-0.946
1.700,0.082,0.121,-0.977
1.720,0.121,0.165,-0.945
1.740,-0.007,0.198,-0.995
1.760,-0.034,0.136,-0.922
1.780,0.039,0.193,-0.876
1.800,0.086,0.287,-0.936
1.820,-0.074,0.335,-1.117
1.840,-0.134,0.300,-0.900
1.860,-0.092,0.375,-0.765
1.880,-0.121,0.388,-0.812
1.900,-0.077,0.392,-0.885
1.920,-0.161,0.392,-0.962
1.940,-0.164,0.395,-0.790
1.960,-0.195,0.294,-0.668
1.980,-0.323,0.395,-0.847
2.000,-0.382,0.461,-0.875
2.020,-0.397,0.465,-0.595
2.040,-0.330,0.389,-0.469
2.060,-0.438,0.393,-0.799
2.080,-0.548,0.345,-0.745
