time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.991,0.417,0.102
0.020,-0.997,0.353,0.130
0.040,-1.008,0.376,0.096
0.060,-1.071,0.428,0.049
0.080,-1.139,0.302,0.178
0.100,-1.128,0.236,0.159
0.120,-1.067,0.321,-0.037
0.140,-1.039,0.318,0.009
0.160,-1.085,0.280,0.209
0.180,-1.033,0.266,0.214
0.200,-0.966,0.280,0.045
0.220,-1.009,0.335,-0.051
0.240,-1.016,0.329,0.100
0.260,-0.933,0.316,0.178
0.280,-0.920,0.365,0.030
0.300,-1.023,0.371,-0.007
0.320,-1.086,0.317,0.130
0.340,-1.085,0.325,0.170
0.360,-1.049,0.358,0.098
0.380,-1.026,0.354,0.110
0.400,-1.014,0.346,0.089
0.420,-1.041,0.345,0.124
0.440,-1.094,0.426,0.202
0.460,-1.051,0.438,0.182
0.480,-0.973,0.323,0.143
0.500,-0.990,0.336,-0.012
0.520,-1.035,0.355,0.004
0.540,-1.006,0.317,0.171
0.560,-1.000,0.345,0.127
0.580,-1.016,0.387,0.060
0.600,-1.054,0.371,0.126
0.620,-1.047,0.332,0.182
0.640,-1.008,0.301,0.103
0.660,-0.976,0.342,0.016
0.680,-1.001,0.388,0.040
0.700,-1.042,0.371,0.149
0.720,-1.036,0.348,0.148
0.740,-1.022,0.356,0.091
0.760,-1.037,0.366,0.109
0.780,-1.016,0.354,0.148
0.800,-0.992,0.373,0.122
0.820,-1.040,0.419,0.060
0.840,-1.084,0.328,0.106
0.860,-1.033,0.235,0.196
0.880,-0.988,0.361,0.128
0.900,-1.012,0.512,0.103
0.920,-1.022,0.459,0.148
0.940,-1.034,0.275,0.158
0.960,-1.038,0.233,0.140
0.980,-1.076,0.366,0.111
1.000,-1.044,0.421,0.151
1.020,-0.968,0.359,0.186
1.040,-1.015,0.371,0.053
1.060,-1.045,0.355,0.139
1.080,-1.042,0.369,0.207
1.100,-1.055,0.396,0.139
1.120,-1.055,0.353,0.155
1.140,-1.046,0.314,0.203
1.160,-0.988,0.325,0.128
1.180,-0.909,0.397,0.006
1.200,-0.913,0.465,0.062
1.220,-0.999,0.444,0.250
1.240,-1.053,0.369,0.252
1.260,-1.032,0.267,0.126
1.280,-1.020,0.268,0.057
1.300,-1.010,0.359,0.133
1.320,-0.997,0.399,0.251
1.340,-0.984,0.398,0.209
1.360,-0.978,0.416,0.120
1.380,-1.011,0.446,0.170
1.400,-1.012,0.409,0.215
1.420,-1.003,0.294,0.211
1.440,-1.039,0.313,0.157
1.460,-1.061,0.382,0.180
1.480,-1.028,0.367,0.254
1.500,-1.021,0.329,0.179
1.520,-1.035,0.321,0.135
1.540,-1.037,0.351,0.165
1.560,-1.023,0.358,0.201
1.580,-1.016,0.339,0.170
1.600,-1.040,0.330,0.127
1.620,-1.062,0.331,0.182
1.640,-1.068,0.318,0.234
1.660,-1.045,0.311,0.200
1.680,-1.038,0.338,0.130
1.700,-1.030,0.343,0.164
1.720,-1.028,0.322,0.202
1.740,-1.027,0.289,0.161
1.760,-1.017,0.282,0.125
1.780,-1.021,0.323,0.144
1.800,-1.018,0.325,0.177
1.820,-1.017,0.309,0.145
1.840,-1.022,0.319,0.109
1.860,-1.035,0.327,0.159
1.880,-1.065,0.316,0.193
1.900,-1.069,0.292,0.158
1.920,-1.057,0.286,0.087
1.940,-1.055,0.295,0.106
1.960,-1.045,0.289,0.148
1.980,-1.031,0.272,0.137
2.000,-1.025,0.277,0.094
2.020,-1.021,0.296,0.119
2.040,-1.015,0.289,0.173
2.060,-1.025,0.272,0.116
2.080,-1.029,0.236,0.046
2.100,-1.036,0.209,0.091
2.120,-1.028,0.274,0.137
2.140,-1.005,0.322,0.106
2.160,-1.035,0.313,0.078
2.180,-1.079,0.265,0.107
2.200,-1.065,0.219,0.157
2.220,-1.050,0.290,0.085
2.240,-1.030,0.369,0.045
2.260,-1.020,0.355,0.083
2.280,-1.033,0.309,0.111
2.300,-1.046,0.281,0.091
2.320,-1.055,0.289,0.083
2.340,-1.082,0.340,0.109
2.360,-1.071,0.355,0.117
2.380,-1.051,0.292,0.101
2.400,-1.032,0.269,0.061
2.420,-1.014,0.320,0.057
2.440,-1.034,0.357,0.132
2.460,-1.052,0.350,0.136
2.480,-1.004,0.290,0.059
2.500,-0.984,0.277,0.017
2.520,-1.038,0.316,0.073
2.540,-1.086,0.308,0.109
2.560,-1.080,0.252,0.071
2.580,-1.050,0.270,0.009
2.600,-1.080,0.297,0.077
2.620,-1.084,0.329,0.139
2.640,-1.022,0.319,0.080
2.660,-0.957,0.279,0.019
2.680,-1.015,0.294,0.027
2.700,-1.095,0.347,0.115
2.720,-1.073,0.385,0.138
2.740,-1.045,0.331,0.105
2.760,-1.099,0.243,0.061
2.780,-1.142,0.250,0.086
2.800,-1.101,0.357,0.129
2.820,-1.064,0.325,0.064
2.840,-1.063,0.198,0.033
2.860,-0.999,0.248,0.043
2.880,-0.996,0.394,0.017
2.900,-1.018,0.306,0.185
2.920,-1.030,0.211,0.277
2.940,-1.000,0.323,-0.074
2.960,-0.975,0.362,-0.130
2.980,-1.069,0.333,0.149
3.000,-1.050,0.310,0.194
3.020,-0.990,0.353,0.063
3.040,-1.072,0.364,0.020
3.060,-1.091,0.312,0.134
3.080,-1.008,0.354,0.124
3.100,-1.024,0.397,0.072
3.120,-1.029,0.335,0.141
3.140,-1.038,0.285,0.142
3.160,-1.032,0.314,0.085
3.180,-0.982,0.412,0.088
3.200,-1.003,0.421,0.161
3.220,-1.009,0.298,0.256
3.240,-1.025,0.332,0.127
3.260,-1.155,0.413,-0.005
3.280,-1.142,0.275,0.226
3.300,-0.940,0.209,0.289
3.320,-0.975,0.390,-0.030
3.340,-0.974,0.401,-0.041
3.360,-0.956,0.333,0.122
3.380,-1.001,0.340,0.100
3.400,-1.012,0.322,0.087
3.420,-1.052,0.314,0.138
3.440,-1.085,0.328,0.220
3.460,-1.023,0.357,0.245
3.480,-0.999,0.352,0.159
3.500,-0.987,0.350,0.116
3.520,-1.013,0.381,0.141
3.540,-0.998,0.409,0.174
3.560,-0.957,0.373,0.122
3.580,-0.985,0.373,0.056
3.600,-1.097,0.414,0.101
3.620,-1.130,0.385,0.340
3.640,-1.089,0.316,0.409
3.660,-1.000,0.324,0.233
3.680,-0.971,0.373,0.054
3.700,-0.981,0.378,0.096
3.720,-1.001,0.334,0.218
3.740,-1.004,0.323,0.213
3.760,-0.997,0.390,0.164
3.780,-1.014,0.431,0.192
3.800,-1.019,0.405,0.228
3.820,-1.050,0.389,0.140
3.840,-1.041,0.359,0.177
3.860,-0.997,0.321,0.271
3.880,-0.968,0.337,0.204
3.900,-0.982,0.400,0.101
3.920,-0.971,0.435,0.146
3.940,-0.976,0.419,0.236
3.960,-1.025,0.335,0.265
3.980,-1.036,0.306,0.192
4.000,-0.996,0.372,0.133
4.020,-0.955,0.423,0.178
4.040,-0.969,0.412,0.229
4.060,-1.008,0.392,0.223
4.080,-1.016,0.356,0.193
4.100,-1.008,0.334,0.209
4.120,-0.968,0.349,0.247
4.140,-0.966,0.405,0.225
4.160,-1.036,0.428,0.159
4.180,-1.052,0.333,0.159
4.200,-1.026,0.289,0.287
4.220,-1.016,0.381,0.333
4.240,-1.024,0.464,0.232
4.260,-1.018,0.404,0.216
4.280,-0.989,0.344,0.262
4.300,-0.992,0.371,0.263
4.320,-1.000,0.410,0.246
4.340,-0.972,0.373,0.240
4.360,-0.930,0.337,0.217
4.380,-0.983,0.405,0.167
4.400,-1.022,0.373,0.155
4.420,-0.969,0.235,0.186
4.440,-0.967,0.279,0.146
4.460,-1.027,0.431,0.157
4.480,-1.099,0.465,0.242
4.500,-1.034,0.321,0.370
4.520,-0.988,0.304,0.336
4.540,-0.982,0.485,0.143
4.560,-0.995,0.489,0.162
4.580,-1.003,0.367,0.295
4.600,-0.978,0.340,0.265
4.620,-0.953,0.381,0.195
4.640,-0.932,0.426,0.174
4.660,-0.961,0.395,0.212
4.680,-0.973,0.349,0.223
4.700,-0.965,0.356,0.209
4.720,-0.939,0.404,0.227
4.740,-0.959,0.426,0.234
4.760,-0.991,0.361,0.218
4.780,-0.978,0.317,0.148
4.800,-0.976,0.341,0.159
4.820,-1.023,0.404,0.273
4.840,-1.075,0.416,0.329
4.860,-1.066,0.337,0.343
4.880,-1.026,0.329,0.251
