time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.852,0.307,0.581
0.020,-0.912,0.339,0.641
0.040,-0.967,0.396,0.516
0.060,-0.962,0.402,0.450
0.080,-0.911,0.355,0.431
0.100,-0.894,0.309,0.403
0.120,-0.944,0.294,0.304
0.140,-0.927,0.313,0.233
0.160,-0.962,0.371,0.213
0.180,-0.989,0.377,0.230
0.200,-0.944,0.324,0.285
0.220,-0.914,0.247,0.296
0.240,-0.963,0.236,0.194
0.260,-1.026,0.274,0.117
0.280,-1.020,0.330,0.203
0.300,-1.021,0.344,0.260
0.320,-1.009,0.296,0.228
0.340,-1.026,0.262,0.154
0.360,-1.043,0.261,0.100
0.380,-1.026,0.268,0.124
0.400,-1.004,0.243,0.173
0.420,-1.020,0.274,0.154
0.440,-1.055,0.333,0.096
0.460,-1.019,0.322,0.098
0.480,-0.990,0.371,0.388
0.500,-0.977,0.391,0.395
0.520,-0.964,0.374,0.377
0.540,-0.950,0.315,0.381
0.560,-0.821,0.417,0.490
0.580,-0.799,0.395,0.437
0.600,-0.863,0.355,0.412
0.620,-0.976,0.336,0.424
0.640,-0.920,0.341,0.557
0.660,-0.721,0.403,0.634
0.680,-0.674,0.385,0.501
0.700,-0.752,0.377,0.525
0.720,-0.923,0.379,0.634
0.740,-0.998,0.403,0.601
0.760,-0.917,0.341,0.472
0.780,-0.864,0.253,0.551
0.800,-0.923,0.211,0.694
0.820,-0.894,0.262,0.789
0.840,-0.870,0.464,0.508
0.860,-0.870,0.348,0.603
0.880,-0.798,0.217,0.690
0.900,-0.807,0.206,0.628
0.920,-0.843,0.251,0.532
0.940,-0.861,0.296,0.516
0.960,-0.823,0.331,0.536
0.980,-0.768,0.355,0.568
1.000,-0.736,0.363,0.613
1.020,-0.806,0.387,0.605
1.040,-0.839,0.360,0.568
1.060,-0.840,0.319,0.548
1.080,-0.813,0.314,0.527
1.100,-0.832,0.363,0.582
1.120,-0.830,0.371,0.672
1.140,-0.803,0.342,0.712
1.160,-0.786,0.367,0.679
1.180,-0.787,0.401,0.612
1.200,-0.793,0.404,0.596
1.220,-0.795,0.384,0.610
1.240,-0.819,0.358,0.643
1.260,-0.847,0.340,0.663
1.280,-0.846,0.342,0.620
1.300,-0.814,0.346,0.530
1.320,-0.827,0.351,0.521
1.340,-0.844,0.356,0.565
1.360,-0.798,0.357,0.590
1.380,-0.774,0.362,0.569
1.400,-0.827,0.420,0.523
1.420,-0.851,0.451,0.496
1.440,-0.826,0.412,0.551
1.460,-0.827,0.401,0.556
1.480,-0.820,0.403,0.474
1.500,-0.838,0.405,0.419
1.520,-0.857,0.419,0.380
1.540,-0.838,0.410,0.419
1.560,-0.834,0.423,0.531
1.580,-0.793,0.475,0.534
1.600,-0.789,0.509,0.462
1.620,-0.837,0.517,0.424
1.640,-0.848,0.497,0.429
1.660,-0.827,0.451,0.476
1.680,-0.820,0.435,0.496
1.700,-0.812,0.461,0.435
1.720,-0.810,0.495,0.403
1.740,-0.812,0.486,0.426
1.760,-0.812,0.453,0.533
1.780,-0.848,0.469,0.540
1.800,-0.862,0.484,0.454
1.820,-0.875,0.440,0.423
1.840,-0.891,0.390,0.477
1.860,-0.887,0.383,0.482
1.880,-0.856,0.500,0.556
1.900,-0.867,0.507,0.515
1.920,-0.865,0.493,0.447
1.940,-0.792,0.526,0.444
1.960,-0.751,0.521,0.456
1.980,-0.771,0.454,0.525
2.000,-0.886,0.465,0.648
2.020,-0.832,0.552,0.687
2.040,-0.719,0.613,0.617
2.060,-0.715,0.551,0.589
2.080,-0.766,0.470,0.532
2.100,-0.868,0.483,0.478
2.120,-0.868,0.452,0.450
2.140,-0.761,0.373,0.467
2.160,-0.716,0.344,0.465
2.180,-0.752,0.427,0.400
2.200,-0.841,0.522,0.316
2.220,-0.834,0.479,0.365
2.240,-0.813,0.427,0.536
2.260,-0.882,0.435,0.639
2.280,-0.883,0.472,0.684
2.300,-0.924,0.379,0.587
2.320,-0.900,0.245,0.581
2.340,-0.846,0.134,0.689
2.360,-0.706,0.041,0.781
2.380,-0.701,0.061,0.715
2.400,-0.733,0.160,0.391
2.420,-0.755,0.393,0.336
2.440,-0.766,0.499,0.591
2.460,-0.546,0.642,0.908
2.480,-0.655,0.697,0.893
2.500,-0.846,0.304,0.481
2.520,-0.900,0.255,0.577
2.540,-0.863,0.210,0.708
2.560,-0.858,0.324,0.758
2.580,-0.787,0.378,0.640
