time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.776,0.440,0.517
0.020,-0.793,0.433,0.503
0.040,-0.803,0.431,0.553
0.060,-0.773,0.439,0.617
0.080,-0.753,0.476,0.636
0.100,-0.781,0.524,0.596
0.120,-0.786,0.529,0.576
0.140,-0.739,0.526,0.599
0.160,-0.678,0.546,0.637
0.180,-0.638,0.556,0.689
0.200,-0.636,0.575,0.790
0.220,-0.670,0.611,0.871
0.240,-0.650,0.624,0.889
0.260,-0.584,0.534,0.849
0.280,-0.534,0.400,0.828
0.300,-0.599,0.322,0.859
0.320,-0.758,0.364,0.888
0.340,-0.853,0.454,0.779
0.360,-0.787,0.409,0.649
0.380,-0.656,0.270,0.706
0.400,-0.590,0.225,0.746
0.420,-0.588,0.283,0.699
0.440,-0.614,0.277,0.677
0.460,-0.621,0.232,0.690
0.480,-0.609,0.260,0.747
0.500,-0.594,0.322,0.792
0.520,-0.607,0.356,0.821
0.540,-0.621,0.349,0.833
0.560,-0.653,0.362,0.813
0.580,-0.672,0.395,0.807
0.600,-0.652,0.427,0.798
0.620,-0.611,0.440,0.823
0.640,-0.571,0.448,0.833
0.660,-0.564,0.470,0.823
0.680,-0.527,0.478,0.828
0.700,-0.465,0.466,0.812
0.720,-0.430,0.427,0.819
0.740,-0.487,0.381,0.831
0.760,-0.575,0.396,0.814
0.780,-0.595,0.419,0.826
0.800,-0.648,0.579,0.834
0.820,-0.601,0.540,0.743
0.840,-0.635,0.593,0.693
0.860,-0.612,0.557,0.615
0.880,-0.554,0.574,0.675
0.900,-0.563,0.562,0.591
0.920,-0.637,0.601,0.483
0.940,-0.603,0.607,0.573
0.960,-0.570,0.624,0.646
0.980,-0.574,0.593,0.551
1.000,-0.604,0.534,0.474
1.020,-0.643,0.515,0.496
1.040,-0.642,0.490,0.476
1.060,-0.579,0.479,0.484
1.080,-0.537,0.542,0.534
1.100,-0.580,0.623,0.533
1.120,-0.665,0.671,0.507
1.140,-0.706,0.702,0.590
1.160,-0.706,0.681,0.669
1.180,-0.758,0.576,0.574
1.200,-0.871,0.508,0.500
1.220,-0.854,0.572,0.651
1.240,-0.775,0.675,0.899
1.260,-0.719,0.685,0.973
1.280,-0.682,0.616,0.917
1.300,-0.654,0.554,0.772
1.320,-0.666,0.508,0.611
1.340,-0.773,0.351,0.453
1.360,-0.843,0.187,0.488
1.380,-0.739,0.152,0.747
1.400,-0.607,0.360,0.840
1.420,-0.595,0.527,0.799
1.440,-0.615,0.495,0.708
1.460,-0.653,0.468,0.729
1.480,-0.673,0.429,0.836
1.500,-0.724,0.376,0.870
1.520,-0.751,0.453,0.839
1.540,-0.618,0.520,0.777
1.560,-0.518,0.498,0.676
1.580,-0.522,0.468,0.597
1.600,-0.531,0.429,0.610
1.620,-0.487,0.417,0.671
