time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.701,0.640,0.415
0.020,-0.720,0.666,0.413
0.040,-0.729,0.665,0.396
0.060,-0.726,0.641,0.404
0.080,-0.728,0.642,0.413
0.100,-0.736,0.654,0.406
0.120,-0.737,0.660,0.404
0.140,-0.725,0.665,0.411
0.160,-0.713,0.667,0.402
0.180,-0.712,0.660,0.392
0.200,-0.726,0.673,0.398
0.220,-0.735,0.689,0.399
0.240,-0.718,0.665,0.392
0.260,-0.707,0.633,0.393
0.280,-0.719,0.650,0.401
0.300,-0.715,0.684,0.394
0.320,-0.701,0.684,0.381
0.340,-0.704,0.671,0.390
0.360,-0.713,0.652,0.419
0.380,-0.727,0.653,0.410
0.400,-0.734,0.663,0.392
0.420,-0.732,0.666,0.406
0.440,-0.734,0.666,0.431
0.460,-0.745,0.676,0.402
0.480,-0.743,0.678,0.369
0.500,-0.731,0.665,0.409
0.520,-0.723,0.676,0.417
0.540,-0.721,0.636,0.371
0.560,-0.723,0.597,0.362
0.580,-0.731,0.644,0.376
0.600,-0.708,0.679,0.405
0.620,-0.702,0.656,0.410
0.640,-0.736,0.659,0.394
0.660,-0.750,0.673,0.412
0.680,-0.745,0.660,0.435
0.700,-0.754,0.663,0.419
0.720,-0.746,0.677,0.396
0.740,-0.725,0.658,0.409
0.760,-0.723,0.656,0.412
0.780,-0.720,0.661,0.412
0.800,-0.715,0.672,0.403
0.820,-0.714,0.667,0.398
0.840,-0.714,0.652,0.408
0.860,-0.717,0.654,0.408
0.880,-0.720,0.669,0.388
0.900,-0.727,0.661,0.395
0.920,-0.735,0.663,0.413
0.940,-0.735,0.661,0.410
0.960,-0.733,0.660,0.406
0.980,-0.721,0.678,0.410
1.000,-0.714,0.673,0.412
1.020,-0.725,0.659,0.388
1.040,-0.733,0.661,0.389
1.060,-0.723,0.666,0.407
1.080,-0.714,0.662,0.406
1.100,-0.726,0.660,0.387
1.120,-0.731,0.658,0.392
1.140,-0.723,0.655,0.405
1.160,-0.716,0.664,0.410
1.180,-0.719,0.679,0.401
1.200,-0.718,0.676,0.394
1.220,-0.712,0.672,0.392
1.240,-0.717,0.674,0.404
1.260,-0.721,0.679,0.412
1.280,-0.725,0.685,0.399
1.300,-0.719,0.678,0.389
1.320,-0.717,0.668,0.399
1.340,-0.723,0.675,0.403
1.360,-0.720,0.682,0.395
1.380,-0.713,0.687,0.386
1.400,-0.712,0.680,0.385
1.420,-0.711,0.676,0.396
1.440,-0.712,0.690,0.387
1.460,-0.708,0.684,0.381
1.480,-0.706,0.673,0.382
1.500,-0.708,0.680,0.381
1.520,-0.708,0.685,0.390
1.540,-0.717,0.691,0.395
1.560,-0.728,0.677,0.383
