time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.524,0.822,0.329
0.020,-0.543,0.824,0.338
0.040,-0.537,0.824,0.334
0.060,-0.522,0.823,0.324
0.080,-0.525,0.822,0.330
0.100,-0.542,0.816,0.335
0.120,-0.533,0.817,0.341
0.140,-0.517,0.848,0.345
0.160,-0.516,0.838,0.344
0.180,-0.527,0.813,0.340
0.200,-0.534,0.823,0.334
0.220,-0.526,0.816,0.345
0.240,-0.512,0.833,0.360
0.260,-0.505,0.854,0.346
0.280,-0.505,0.838,0.323
0.300,-0.519,0.815,0.312
0.320,-0.521,0.817,0.330
0.340,-0.503,0.822,0.353
0.360,-0.499,0.812,0.364
0.380,-0.500,0.783,0.361
0.400,-0.479,0.738,0.326
0.420,-0.461,0.772,0.340
0.440,-0.474,0.867,0.368
0.460,-0.476,0.858,0.447
0.480,-0.492,0.788,0.519
0.500,-0.525,0.793,0.513
0.520,-0.523,0.810,0.459
0.540,-0.510,0.830,0.434
0.560,-0.509,0.873,0.431
0.580,-0.496,0.854,0.465
0.600,-0.476,0.835,0.482
0.620,-0.474,0.840,0.454
0.640,-0.470,0.829,0.429
0.660,-0.458,0.830,0.430
0.680,-0.435,0.823,0.428
0.700,-0.425,0.815,0.423
0.720,-0.431,0.830,0.411
0.740,-0.432,0.818,0.421
0.760,-0.446,0.805,0.455
0.780,-0.468,0.791,0.489
0.800,-0.475,0.785,0.493
0.820,-0.474,0.800,0.469
0.840,-0.474,0.809,0.436
0.860,-0.458,0.798,0.456
0.880,-0.443,0.788,0.505
0.900,-0.458,0.788,0.532
0.920,-0.484,0.785,0.512
0.940,-0.487,0.769,0.496
0.960,-0.479,0.770,0.505
0.980,-0.468,0.767,0.525
1.000,-0.470,0.782,0.539
1.020,-0.472,0.787,0.540
1.040,-0.467,0.765,0.537
1.060,-0.464,0.753,0.534
1.080,-0.465,0.745,0.534
1.100,-0.465,0.759,0.550
1.120,-0.462,0.761,0.562
1.140,-0.456,0.736,0.553
1.160,-0.471,0.737,0.530
1.180,-0.491,0.748,0.521
1.200,-0.480,0.734,0.527
1.220,-0.460,0.733,0.544
1.240,-0.464,0.762,0.550
1.260,-0.473,0.767,0.550
1.280,-0.477,0.742,0.556
1.300,-0.469,0.740,0.561
1.320,-0.470,0.768,0.555
1.340,-0.472,0.770,0.547
1.360,-0.466,0.750,0.560
1.380,-0.468,0.762,0.562
1.400,-0.475,0.755,0.554
1.420,-0.474,0.717,0.542
1.440,-0.479,0.721,0.535
1.460,-0.485,0.787,0.550
1.480,-0.489,0.804,0.565
1.500,-0.490,0.744,0.557
1.520,-0.522,0.719,0.559
1.540,-0.556,0.740,0.554
1.560,-0.542,0.731,0.548
1.580,-0.516,0.738,0.559
1.600,-0.501,0.774,0.579
1.620,-0.501,0.786,0.586
1.640,-0.511,0.781,0.566
1.660,-0.516,0.743,0.537
1.680,-0.518,0.707,0.509
1.700,-0.527,0.709,0.473
1.720,-0.529,0.714,0.458
1.740,-0.499,0.709,0.472
1.760,-0.484,0.709,0.477
1.780,-0.474,0.724,0.468
1.800,-0.489,0.758,0.469
1.820,-0.496,0.773,0.480
1.840,-0.490,0.737,0.479
1.860,-0.489,0.710,0.462
1.880,-0.492,0.734,0.459
1.900,-0.494,0.759,0.480
1.920,-0.479,0.750,0.502
1.940,-0.468,0.741,0.502
1.960,-0.470,0.735,0.486
1.980,-0.477,0.716,0.481
2.000,-0.480,0.701,0.499
2.020,-0.478,0.694,0.531
2.040,-0.458,0.697,0.568
2.060,-0.453,0.735,0.602
2.080,-0.445,0.770,0.601
2.100,-0.469,0.792,0.571
2.120,-0.498,0.764,0.553
2.140,-0.522,0.742,0.577
2.160,-0.567,0.780,0.628
2.180,-0.585,0.749,0.641
2.200,-0.556,0.674,0.593
2.220,-0.517,0.704,0.496
2.240,-0.487,0.759,0.480
2.260,-0.435,0.765,0.581
2.280,-0.371,0.753,0.641
2.300,-0.345,0.731,0.631
2.320,-0.363,0.705,0.602
2.340,-0.430,0.701,0.595
2.360,-0.455,0.660,0.594
2.380,-0.473,0.644,0.604
2.400,-0.471,0.712,0.611
2.420,-0.462,0.766,0.596
2.440,-0.464,0.752,0.589
2.460,-0.494,0.708,0.594
2.480,-0.500,0.687,0.619
2.500,-0.473,0.717,0.646
2.520,-0.444,0.786,0.647
2.540,-0.425,0.794,0.613
2.560,-0.432,0.744,0.603
