time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.703,0.665,-0.330
0.020,-0.693,0.688,-0.288
0.040,-0.678,0.687,-0.291
0.060,-0.688,0.676,-0.340
0.080,-0.693,0.670,-0.310
0.100,-0.695,0.630,-0.269
0.120,-0.684,0.638,-0.245
0.140,-0.677,0.680,-0.265
0.160,-0.698,0.704,-0.276
0.180,-0.753,0.721,-0.308
0.200,-0.771,0.749,-0.256
0.220,-0.762,0.768,-0.248
0.240,-0.788,0.811,-0.259
0.260,-0.778,0.825,-0.231
0.280,-0.802,0.814,-0.271
0.300,-0.818,0.814,-0.297
0.320,-0.750,0.814,-0.267
0.340,-0.731,0.777,-0.234
0.360,-0.726,0.702,-0.241
0.380,-0.654,0.689,-0.254
0.400,-0.628,0.720,-0.260
0.420,-0.706,0.777,-0.268
0.440,-0.756,0.756,-0.267
0.460,-0.759,0.726,-0.308
0.480,-0.757,0.692,-0.398
0.500,-0.819,0.720,-0.276
0.520,-0.861,0.760,-0.223
0.540,-0.772,0.693,-0.320
0.560,-0.742,0.658,-0.328
0.580,-0.808,0.654,-0.373
0.600,-0.858,0.629,-0.453
0.620,-0.842,0.598,-0.386
0.640,-0.849,0.560,-0.419
0.660,-0.817,0.520,-0.377
0.680,-0.776,0.565,-0.379
0.700,-0.740,0.571,-0.441
0.720,-0.714,0.603,-0.391
0.740,-0.692,0.617,-0.414
0.760,-0.691,0.579,-0.387
0.780,-0.718,0.605,-0.366
0.800,-0.751,0.621,-0.394
0.820,-0.723,0.650,-0.408
0.840,-0.729,0.629,-0.409
0.860,-0.732,0.612,-0.414
0.880,-0.752,0.602,-0.414
0.900,-0.772,0.617,-0.416
0.920,-0.775,0.623,-0.427
0.940,-0.801,0.624,-0.412
0.960,-0.829,0.672,-0.390
0.980,-0.876,0.694,-0.386
1.000,-0.890,0.660,-0.366
1.020,-0.893,0.655,-0.395
1.040,-0.853,0.650,-0.337
1.060,-0.808,0.657,-0.267
1.080,-0.795,0.613,-0.314
1.100,-0.737,0.479,-0.332
1.120,-0.816,0.417,-0.356
1.140,-0.895,0.635,-0.542
1.160,-0.902,0.617,-0.419
1.180,-0.824,0.688,-0.118
1.200,-0.717,0.766,0.106
1.220,-0.729,0.724,0.353
1.240,-0.780,0.784,0.317
1.260,-0.732,0.791,0.223
1.280,-0.755,0.653,0.227
1.300,-0.737,0.691,0.654
1.320,-0.662,0.677,0.541
1.340,-0.679,0.691,0.467
1.360,-0.694,0.640,0.468
1.380,-0.675,0.592,0.568
1.400,-1.048,0.583,-0.307
1.420,-0.984,0.539,-0.171
1.440,-0.910,0.365,-0.110
1.460,-1.021,0.439,-0.270
1.480,-1.092,0.448,-0.323
1.500,-1.123,0.368,-0.163
1.520,-1.101,0.296,-0.170
1.540,-1.101,0.394,-0.273
1.560,-1.025,0.203,-0.272
1.580,-1.098,0.182,-0.231
1.600,-1.048,0.221,-0.248
1.620,-0.938,0.200,-0.214
1.640,-0.915,0.213,-0.184
1.660,-0.982,0.240,-0.149
1.680,-0.939,0.195,-0.132
1.700,-0.937,0.150,-0.141
1.720,-1.016,0.169,-0.142
1.740,-1.073,0.158,-0.140
1.760,-1.078,0.122,-0.145
1.780,-1.079,0.119,-0.193
1.800,-1.080,0.159,-0.268
1.820,-1.025,0.142,-0.274
1.840,-1.027,0.146,-0.268
1.860,-1.043,0.160,-0.237
1.880,-1.041,0.144,-0.208
1.900,-1.078,0.125,-0.210
1.920,-1.112,0.122,-0.226
1.940,-1.068,0.058,-0.229
