time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.154,0.629,0.755
0.020,-0.149,0.612,0.788
0.040,-0.157,0.617,0.789
0.060,-0.166,0.632,0.776
0.080,-0.155,0.629,0.781
0.100,-0.144,0.625,0.795
0.120,-0.143,0.636,0.787
0.140,-0.143,0.638,0.778
0.160,-0.141,0.630,0.782
0.180,-0.143,0.631,0.789
0.200,-0.148,0.636,0.789
0.220,-0.153,0.640,0.788
0.240,-0.164,0.644,0.783
0.260,-0.182,0.645,0.764
0.280,-0.200,0.636,0.755
0.300,-0.200,0.624,0.790
0.320,-0.201,0.628,0.812
0.340,-0.210,0.641,0.768
0.360,-0.200,0.625,0.745
0.380,-0.175,0.604,0.769
0.400,-0.164,0.598,0.776
0.420,-0.160,0.600,0.760
0.440,-0.171,0.605,0.744
0.460,-0.172,0.610,0.742
0.480,-0.166,0.603,0.749
0.500,-0.163,0.587,0.751
0.520,-0.160,0.578,0.743
0.540,-0.160,0.574,0.729
0.560,-0.141,0.561,0.730
0.580,-0.104,0.563,0.725
0.600,-0.090,0.564,0.713
0.620,-0.073,0.541,0.711
0.640,-0.015,0.514,0.714
0.660,0.028,0.525,0.696
0.680,0.010,0.576,0.653
0.700,-0.025,0.610,0.623
0.720,0.013,0.594,0.637
0.740,0.089,0.585,0.734
0.760,0.171,0.560,0.766
0.780,0.206,0.510,0.679
0.800,0.239,0.581,0.699
0.820,0.126,0.610,0.573
0.840,0.001,0.593,0.564
0.860,0.171,0.500,0.732
0.880,0.322,0.437,0.863
0.900,0.302,0.445,0.724
0.920,0.224,0.510,0.586
0.940,0.167,0.537,0.594
0.960,0.161,0.545,0.760
0.980,0.165,0.540,0.795
1.000,0.201,0.495,0.691
1.020,0.200,0.516,0.733
1.040,0.169,0.540,0.748
1.060,0.155,0.566,0.758
1.080,0.220,0.532,0.738
1.100,0.318,0.517,0.744
1.120,0.298,0.593,0.752
1.140,0.232,0.635,0.757
1.160,0.280,0.532,0.754
1.180,0.393,0.388,0.773
1.200,0.477,0.320,0.820
1.220,0.426,0.397,0.706
1.240,0.338,0.474,0.617
1.260,0.317,0.452,0.734
1.280,0.335,0.474,0.846
1.300,0.347,0.497,0.842
1.320,0.391,0.453,0.807
1.340,0.393,0.420,0.796
1.360,0.361,0.419,0.734
1.380,0.348,0.411,0.730
1.400,0.338,0.402,0.771
1.420,0.328,0.407,0.779
