time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.567,0.614,0.657
0.020,-0.547,0.555,0.670
0.040,-0.516,0.528,0.675
0.060,-0.554,0.573,0.622
0.080,-0.572,0.616,0.650
0.100,-0.538,0.606,0.691
0.120,-0.521,0.591,0.655
0.140,-0.537,0.595,0.626
0.160,-0.550,0.592,0.668
0.180,-0.557,0.577,0.698
0.200,-0.567,0.582,0.679
0.220,-0.589,0.641,0.641
0.240,-0.575,0.672,0.650
0.260,-0.533,0.639,0.666
0.280,-0.534,0.607,0.615
0.300,-0.538,0.589,0.602
0.320,-0.530,0.564,0.659
0.340,-0.519,0.559,0.697
0.360,-0.533,0.595,0.649
0.380,-0.552,0.625,0.616
0.400,-0.541,0.626,0.669
0.420,-0.542,0.624,0.693
0.440,-0.555,0.633,0.649
0.460,-0.556,0.631,0.635
0.480,-0.556,0.610,0.653
0.500,-0.555,0.576,0.668
0.520,-0.549,0.571,0.667
0.540,-0.544,0.614,0.662
0.560,-0.538,0.632,0.679
0.580,-0.541,0.613,0.672
0.600,-0.540,0.603,0.649
0.620,-0.535,0.619,0.664
0.640,-0.534,0.615,0.685
0.660,-0.532,0.586,0.683
0.680,-0.542,0.585,0.661
0.700,-0.540,0.609,0.668
0.720,-0.524,0.613,0.688
0.740,-0.521,0.596,0.682
0.760,-0.533,0.598,0.665
0.780,-0.557,0.614,0.646
0.800,-0.565,0.584,0.657
0.820,-0.556,0.549,0.679
0.840,-0.563,0.583,0.671
0.860,-0.570,0.619,0.677
0.880,-0.560,0.586,0.698
0.900,-0.558,0.561,0.661
0.920,-0.552,0.583,0.640
0.940,-0.552,0.607,0.655
0.960,-0.551,0.569,0.682
0.980,-0.545,0.549,0.677
1.000,-0.565,0.594,0.657
1.020,-0.578,0.616,0.668
1.040,-0.556,0.577,0.696
1.060,-0.537,0.562,0.694
1.080,-0.560,0.620,0.657
1.100,-0.583,0.631,0.651
1.120,-0.549,0.582,0.680
