time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.668,0.799,0.382
0.020,-0.785,0.879,0.439
0.040,-0.799,0.741,0.494
0.060,-0.662,0.597,0.484
0.080,-0.617,0.685,0.409
0.100,-0.670,0.860,0.261
0.120,-0.607,0.792,0.314
0.140,-0.474,0.635,0.433
0.160,-0.452,0.692,0.376
0.180,-0.556,0.806,0.295
0.200,-0.621,0.792,0.316
0.220,-0.649,0.746,0.374
0.240,-0.708,0.727,0.483
0.260,-0.785,0.737,0.551
0.280,-0.800,0.752,0.479
0.300,-0.756,0.724,0.371
0.320,-0.703,0.695,0.341
0.340,-0.647,0.713,0.393
0.360,-0.562,0.752,0.436
0.380,-0.482,0.784,0.417
0.400,-0.485,0.781,0.344
0.420,-0.519,0.766,0.342
0.440,-0.596,0.774,0.388
0.460,-0.673,0.752,0.397
0.480,-0.711,0.695,0.399
0.500,-0.738,0.693,0.421
0.520,-0.723,0.785,0.376
0.540,-0.643,0.774,0.375
0.560,-0.594,0.715,0.385
0.580,-0.589,0.758,0.335
0.600,-0.573,0.754,0.333
0.620,-0.557,0.738,0.405
0.640,-0.630,0.841,0.407
0.660,-0.708,0.861,0.382
0.680,-0.713,0.722,0.423
0.700,-0.717,0.664,0.442
0.720,-0.676,0.725,0.404
0.740,-0.613,0.754,0.384
0.760,-0.540,0.733,0.350
0.780,-0.424,0.764,0.290
0.800,-0.431,0.772,0.297
0.820,-0.509,0.738,0.384
0.840,-0.569,0.770,0.381
0.860,-0.618,0.810,0.342
0.880,-0.711,0.801,0.373
0.900,-0.800,0.749,0.434
0.920,-0.797,0.713,0.452
0.940,-0.752,0.755,0.398
0.960,-0.710,0.805,0.348
0.980,-0.664,0.746,0.390
1.000,-0.610,0.715,0.415
1.020,-0.521,0.771,0.334
1.040,-0.454,0.793,0.278
1.060,-0.470,0.739,0.305
1.080,-0.511,0.726,0.356
1.100,-0.570,0.784,0.328
1.120,-0.615,0.799,0.315
1.140,-0.707,0.773,0.388
1.160,-0.767,0.755,0.439
1.180,-0.755,0.779,0.417
1.200,-0.698,0.793,0.369
1.220,-0.648,0.770,0.366
1.240,-0.608,0.749,0.365
1.260,-0.548,0.732,0.346
1.280,-0.501,0.744,0.295
1.300,-0.495,0.780,0.282
1.320,-0.544,0.827,0.339
1.340,-0.604,0.837,0.368
1.360,-0.674,0.769,0.383
1.380,-0.717,0.711,0.406
1.400,-0.735,0.743,0.395
1.420,-0.691,0.790,0.371
1.440,-0.646,0.792,0.330
1.460,-0.626,0.766,0.315
1.480,-0.585,0.722,0.351
1.500,-0.516,0.724,0.366
1.520,-0.496,0.762,0.337
1.540,-0.568,0.779,0.336
1.560,-0.660,0.751,0.320
1.580,-0.704,0.712,0.302
1.600,-0.742,0.746,0.333
1.620,-0.773,0.813,0.408
1.640,-0.710,0.796,0.477
1.660,-0.620,0.748,0.479
1.680,-0.604,0.785,0.361
1.700,-0.576,0.821,0.306
1.720,-0.523,0.820,0.377
1.740,-0.517,0.815,0.402
1.760,-0.557,0.757,0.353
1.780,-0.580,0.724,0.298
1.800,-0.631,0.796,0.275
1.820,-0.714,0.849,0.328
1.840,-0.709,0.758,0.411
1.860,-0.649,0.692,0.389
1.880,-0.611,0.738,0.277
1.900,-0.595,0.781,0.251
1.920,-0.528,0.757,0.330
1.940,-0.485,0.772,0.360
1.960,-0.542,0.787,0.313
1.980,-0.607,0.740,0.316
2.000,-0.664,0.762,0.340
2.020,-0.706,0.820,0.345
2.040,-0.712,0.804,0.405
2.060,-0.751,0.783,0.421
2.080,-0.737,0.776,0.370
2.100,-0.654,0.756,0.330
2.120,-0.559,0.757,0.307
2.140,-0.540,0.779,0.322
2.160,-0.543,0.789,0.334
