time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.868,0.693,0.007
0.020,-0.865,0.720,0.067
0.040,-0.867,0.656,0.022
0.060,-0.877,0.638,-0.040
0.080,-0.939,0.685,-0.082
0.100,-0.927,0.589,-0.081
0.120,-0.841,0.531,-0.033
0.140,-0.798,0.581,-0.012
0.160,-0.819,0.669,-0.002
0.180,-0.835,0.741,0.035
0.200,-0.830,0.753,0.070
0.220,-0.861,0.693,0.025
0.240,-0.831,0.647,0.008
0.260,-0.848,0.703,-0.068
0.280,-0.879,0.649,-0.111
0.300,-0.845,0.608,-0.080
0.320,-0.812,0.657,0.023
0.340,-0.808,0.762,0.128
0.360,-0.802,0.808,0.217
0.380,-0.774,0.822,0.154
0.400,-0.684,0.713,-0.089
0.420,-0.647,0.498,-0.196
0.440,-0.624,0.530,-0.032
0.460,-0.768,0.563,-0.004
0.480,-1.034,0.633,-0.204
0.500,-0.907,0.417,-0.255
0.520,-0.568,0.292,0.129
0.540,-0.687,0.713,0.139
0.560,-0.822,0.900,0.258
0.580,-0.832,0.710,0.516
0.600,-0.882,0.671,0.330
0.620,-0.811,0.704,0.180
0.640,-0.731,0.709,0.303
0.660,-0.907,0.783,0.289
0.680,-1.014,0.750,0.081
0.700,-0.821,0.560,0.178
0.720,-0.708,0.636,0.389
0.740,-0.734,0.855,0.504
0.760,-0.682,0.895,0.716
0.780,-0.643,0.793,0.708
0.800,-0.632,0.643,0.509
0.820,-0.578,0.593,0.412
0.840,-0.522,0.623,0.332
0.860,-0.449,0.614,0.276
0.880,-0.350,0.624,0.306
0.900,-0.268,0.764,0.473
0.920,-0.370,0.867,0.466
0.940,-0.593,0.819,0.490
0.960,-0.696,0.619,0.609
0.980,-0.695,0.524,0.756
1.000,-0.614,0.614,0.802
1.020,-0.608,0.704,0.677
1.040,-0.500,0.592,0.592
1.060,-0.416,0.492,0.650
1.080,-0.554,0.584,0.746
1.100,-0.470,0.687,0.807
1.120,-0.426,0.687,0.828
1.140,-0.463,0.658,0.898
1.160,-0.478,0.598,1.001
1.180,-0.458,0.558,0.974
1.200,-0.480,0.524,0.794
1.220,-0.639,0.474,0.636
1.240,-0.644,0.436,0.614
1.260,-0.553,0.391,0.709
1.280,-0.459,0.410,0.861
1.300,-0.537,0.450,0.900
1.320,-0.558,0.420,0.786
1.340,-0.596,0.344,0.579
1.360,-0.694,0.328,0.467
1.380,-0.724,0.305,0.529
1.400,-0.663,0.250,0.662
1.420,-0.661,0.235,0.794
1.440,-0.757,0.315,0.773
1.460,-0.797,0.368,0.660
1.480,-0.730,0.354,0.644
1.500,-0.693,0.336,0.730
1.520,-0.700,0.319,0.826
1.540,-0.721,0.290,0.815
1.560,-0.735,0.274,0.792
1.580,-0.708,0.278,0.785
1.600,-0.694,0.263,0.763
1.620,-0.719,0.250,0.753
1.640,-0.745,0.261,0.790
1.660,-0.719,0.277,0.836
1.680,-0.660,0.275,0.813
1.700,-0.643,0.279,0.731
1.720,-0.658,0.288,0.677
1.740,-0.664,0.302,0.724
1.760,-0.688,0.332,0.819
1.780,-0.739,0.335,0.881
1.800,-0.783,0.276,0.835
1.820,-0.774,0.235,0.766
1.840,-0.589,0.307,0.845
1.860,-0.275,0.336,0.976
1.880,-0.157,0.327,1.125
