time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.663,0.638,0.444
0.020,-0.697,0.647,0.441
0.040,-0.740,0.621,0.479
0.060,-0.765,0.598,0.531
0.080,-0.774,0.636,0.525
0.100,-0.776,0.671,0.495
0.120,-0.758,0.643,0.502
0.140,-0.764,0.631,0.486
0.160,-0.767,0.615,0.462
0.180,-0.745,0.601,0.459
0.200,-0.720,0.629,0.456
0.220,-0.697,0.660,0.448
0.240,-0.698,0.657,0.426
0.260,-0.715,0.644,0.419
0.280,-0.713,0.627,0.420
0.300,-0.667,0.599,0.392
0.320,-0.663,0.625,0.354
0.340,-0.688,0.661,0.383
0.360,-0.685,0.628,0.479
0.380,-0.693,0.634,0.467
0.400,-0.703,0.636,0.406
0.420,-0.721,0.630,0.442
0.440,-0.763,0.644,0.518
0.460,-0.773,0.625,0.566
0.480,-0.764,0.613,0.530
0.500,-0.732,0.633,0.470
0.520,-0.685,0.656,0.470
0.540,-0.682,0.651,0.497
0.560,-0.700,0.610,0.499
0.580,-0.722,0.590,0.469
0.600,-0.718,0.588,0.482
0.620,-0.719,0.622,0.490
0.640,-0.718,0.655,0.464
0.660,-0.687,0.632,0.433
0.680,-0.669,0.618,0.466
0.700,-0.683,0.661,0.534
0.720,-0.714,0.664,0.555
0.740,-0.720,0.614,0.540
0.760,-0.734,0.610,0.503
0.780,-0.733,0.626,0.511
0.800,-0.719,0.585,0.546
0.820,-0.729,0.555,0.503
0.840,-0.743,0.574,0.453
0.860,-0.727,0.604,0.458
0.880,-0.697,0.608,0.485
0.900,-0.692,0.612,0.478
0.920,-0.700,0.637,0.466
0.940,-0.703,0.654,0.472
0.960,-0.705,0.642,0.484
0.980,-0.704,0.632,0.483
1.000,-0.694,0.650,0.491
1.020,-0.697,0.676,0.485
1.040,-0.713,0.654,0.472
1.060,-0.717,0.601,0.469
1.080,-0.736,0.593,0.444
1.100,-0.732,0.624,0.459
1.120,-0.726,0.674,0.479
1.140,-0.705,0.661,0.467
1.160,-0.698,0.635,0.424
1.180,-0.710,0.651,0.401
1.200,-0.697,0.635,0.470
1.220,-0.693,0.641,0.491
1.240,-0.702,0.665,0.428
1.260,-0.710,0.670,0.398
1.280,-0.692,0.648,0.463
1.300,-0.689,0.658,0.489
1.320,-0.717,0.674,0.443
1.340,-0.730,0.651,0.404
1.360,-0.725,0.620,0.431
1.380,-0.730,0.634,0.472
1.400,-0.732,0.652,0.457
1.420,-0.718,0.640,0.408
1.440,-0.705,0.636,0.386
1.460,-0.710,0.657,0.412
1.480,-0.716,0.654,0.459
1.500,-0.723,0.650,0.449
1.520,-0.721,0.658,0.406
1.540,-0.715,0.667,0.408
1.560,-0.714,0.665,0.451
1.580,-0.726,0.656,0.451
1.600,-0.734,0.648,0.422
1.620,-0.734,0.640,0.414
1.640,-0.736,0.615,0.447
1.660,-0.742,0.613,0.451
1.680,-0.744,0.641,0.433
1.700,-0.727,0.671,0.427
1.720,-0.710,0.653,0.448
1.740,-0.716,0.613,0.457
1.760,-0.725,0.606,0.434
1.780,-0.727,0.633,0.433
1.800,-0.723,0.653,0.463
1.820,-0.714,0.633,0.479
1.840,-0.725,0.624,0.445
1.860,-0.733,0.637,0.418
1.880,-0.715,0.642,0.452
1.900,-0.712,0.643,0.469
1.920,-0.715,0.631,0.443
1.940,-0.717,0.632,0.430
1.960,-0.720,0.629,0.457
1.980,-0.713,0.634,0.483
2.000,-0.712,0.632,0.486
2.020,-0.717,0.629,0.459
2.040,-0.729,0.633,0.432
2.060,-0.720,0.616,0.462
2.080,-0.723,0.610,0.486
2.100,-0.724,0.613,0.482
2.120,-0.727,0.638,0.466
2.140,-0.720,0.653,0.462
2.160,-0.709,0.633,0.477
2.180,-0.714,0.604,0.483
2.200,-0.729,0.604,0.480
2.220,-0.756,0.638,0.477
2.240,-0.756,0.609,0.492
2.260,-0.737,0.550,0.514
2.280,-0.744,0.582,0.437
2.300,-0.728,0.573,0.433
2.320,-0.711,0.596,0.503
2.340,-0.689,0.662,0.499
2.360,-0.715,0.671,0.448
2.380,-0.759,0.638,0.488
2.400,-0.752,0.607,0.587
2.420,-0.740,0.604,0.571
2.440,-0.736,0.607,0.467
2.460,-0.721,0.619,0.427
2.480,-0.692,0.611,0.466
2.500,-0.662,0.576,0.480
2.520,-0.697,0.625,0.451
2.540,-0.717,0.655,0.441
2.560,-0.702,0.599,0.461
2.580,-0.733,0.608,0.463
2.600,-0.750,0.665,0.450
2.620,-0.714,0.633,0.434
2.640,-0.675,0.577,0.428
2.660,-0.683,0.661,0.453
2.680,-0.663,0.662,0.520
2.700,-0.640,0.564,0.560
2.720,-0.655,0.606,0.526
2.740,-0.721,0.678,0.518
2.760,-0.771,0.592,0.597
2.780,-0.808,0.535,0.601
2.800,-0.790,0.563,0.484
2.820,-0.732,0.586,0.401
2.840,-0.662,0.588,0.436
2.860,-0.620,0.627,0.528
2.880,-0.637,0.672,0.547
2.900,-0.634,0.633,0.551
2.920,-0.642,0.581,0.548
2.940,-0.683,0.596,0.547
2.960,-0.712,0.596,0.579
2.980,-0.699,0.536,0.615
3.000,-0.731,0.544,0.605
3.020,-0.763,0.610,0.565
3.040,-0.707,0.598,0.597
3.060,-0.675,0.584,0.608
3.080,-0.691,0.590,0.566
3.100,-0.690,0.594,0.552
3.120,-0.667,0.608,0.575
3.140,-0.655,0.612,0.581
3.160,-0.669,0.598,0.557
3.180,-0.680,0.583,0.524
3.200,-0.686,0.576,0.522
