time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.823,0.102,0.243
0.020,-0.816,0.234,0.326
0.040,-0.794,0.258,0.461
0.060,-0.782,0.127,0.561
0.080,-0.824,-0.010,0.542
0.100,-0.924,-0.020,0.412
0.120,-1.023,0.029,0.384
0.140,-1.033,0.013,0.530
0.160,-0.980,-0.002,0.671
0.180,-0.882,-0.010,0.668
0.200,-0.840,-0.005,0.533
0.220,-0.861,0.016,0.384
0.240,-0.920,0.062,0.358
0.260,-0.952,0.095,0.420
0.280,-0.927,0.056,0.476
0.300,-0.909,-0.036,0.503
0.320,-0.925,-0.089,0.489
0.340,-0.957,-0.069,0.432
0.360,-0.965,-0.049,0.364
0.380,-0.935,-0.060,0.367
0.400,-0.904,-0.044,0.430
0.420,-0.878,-0.009,0.472
0.440,-0.879,-0.012,0.476
0.460,-0.895,-0.036,0.449
0.480,-0.983,-0.059,0.407
0.500,-1.101,-0.061,0.380
0.520,-1.127,-0.038,0.430
0.540,-1.093,-0.009,0.599
0.560,-1.045,-0.010,0.677
0.580,-0.988,-0.022,0.602
0.600,-1.064,-0.025,0.568
0.620,-1.118,-0.018,0.632
0.640,-1.082,-0.035,0.737
0.660,-1.052,-0.090,0.820
0.680,-1.000,-0.159,0.835
0.700,-0.960,-0.171,0.781
0.720,-0.923,-0.090,0.664
0.740,-0.849,-0.026,0.569
0.760,-0.758,-0.043,0.509
0.780,-0.685,-0.092,0.477
0.800,-0.670,-0.126,0.494
0.820,-0.717,-0.142,0.553
0.840,-0.781,-0.151,0.610
0.860,-0.825,-0.154,0.676
0.880,-0.874,-0.159,0.795
0.900,-0.917,-0.145,0.926
0.920,-0.848,-0.111,0.944
0.940,-0.774,-0.050,0.873
0.960,-0.763,-0.006,0.743
0.980,-0.740,0.012,0.635
1.000,-0.732,0.005,0.604
1.020,-0.719,-0.010,0.635
1.040,-0.701,-0.071,0.612
1.060,-0.741,-0.119,0.596
1.080,-0.767,-0.142,0.534
1.100,-0.804,-0.152,0.532
1.120,-0.828,-0.165,0.564
1.140,-0.809,-0.197,0.587
1.160,-0.814,-0.179,0.614
1.180,-0.828,-0.116,0.583
1.200,-0.816,-0.121,0.547
1.220,-0.836,-0.174,0.585
1.240,-0.888,-0.197,0.635
1.260,-0.970,-0.202,0.651
1.280,-1.017,-0.188,0.673
1.300,-1.002,-0.174,0.709
1.320,-0.978,-0.182,0.684
1.340,-0.965,-0.189,0.645
1.360,-1.034,-0.143,0.694
1.380,-1.070,-0.104,0.707
1.400,-1.061,-0.105,0.737
1.420,-1.062,-0.126,0.852
1.440,-1.017,-0.168,0.921
1.460,-0.949,-0.198,0.840
1.480,-0.859,-0.152,0.627
1.500,-0.793,-0.074,0.437
1.520,-0.749,0.019,0.391
1.540,-0.702,0.101,0.454
1.560,-0.652,0.156,0.570
1.580,-0.633,0.145,0.646
1.600,-0.678,0.115,0.716
1.620,-0.833,0.061,0.712
1.640,-0.971,-0.009,0.613
1.660,-1.044,-0.093,0.534
1.680,-0.999,-0.137,0.556
1.700,-0.917,-0.118,0.616
1.720,-0.837,-0.096,0.623
1.740,-0.812,-0.073,0.560
1.760,-0.861,-0.022,0.459
1.780,-0.898,0.003,0.386
1.800,-0.902,-0.007,0.402
1.820,-0.869,-0.031,0.466
1.840,-0.868,-0.043,0.505
1.860,-0.923,-0.030,0.487
1.880,-0.952,-0.016,0.408
1.900,-0.957,-0.032,0.379
1.920,-0.948,-0.055,0.447
1.940,-0.939,-0.039,0.505
1.960,-0.923,0.001,0.483
1.980,-0.916,0.019,0.447
2.000,-0.916,0.022,0.443
2.020,-0.954,0.031,0.493
2.040,-1.014,0.040,0.555
2.060,-1.037,0.041,0.579
2.080,-1.038,0.002,0.566
2.100,-1.070,-0.069,0.491
2.120,-1.139,-0.145,0.378
2.140,-1.178,-0.219,0.383
2.160,-1.136,-0.236,0.571
2.180,-1.114,-0.159,0.811
2.200,-1.077,-0.084,0.895
2.220,-0.985,-0.071,0.842
2.240,-0.929,-0.059,0.703
2.260,-0.875,-0.022,0.560
2.280,-0.799,-0.039,0.461
2.300,-0.744,-0.115,0.426
2.320,-0.699,-0.171,0.475
2.340,-0.690,-0.178,0.572
2.360,-0.714,-0.168,0.664
2.380,-0.772,-0.142,0.749
2.400,-0.793,-0.105,0.833
2.420,-0.800,-0.065,0.921
2.440,-0.768,-0.021,0.919
2.460,-0.747,-0.013,0.747
2.480,-0.842,-0.045,0.567
2.500,-0.842,-0.108,0.514
2.520,-0.804,-0.142,0.591
2.540,-0.758,-0.096,0.711
2.560,-0.713,-0.054,0.720
