time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.941,0.627,0.100
0.020,-0.991,0.648,0.107
0.040,-0.952,0.626,0.133
0.060,-0.940,0.610,0.108
0.080,-0.971,0.620,0.064
0.100,-0.976,0.615,0.084
0.120,-0.930,0.571,0.160
0.140,-0.891,0.544,0.183
0.160,-0.874,0.566,0.174
0.180,-0.872,0.583,0.153
0.200,-0.893,0.570,0.153
0.220,-0.888,0.556,0.193
0.240,-0.873,0.577,0.196
0.260,-0.847,0.609,0.134
0.280,-0.834,0.616,0.144
0.300,-0.897,0.589,0.227
0.320,-0.911,0.572,0.305
0.340,-0.873,0.573,0.349
0.360,-0.847,0.576,0.370
0.380,-0.848,0.591,0.357
0.400,-0.867,0.603,0.306
0.420,-0.884,0.606,0.245
0.440,-0.884,0.588,0.218
0.460,-0.848,0.550,0.257
0.480,-0.836,0.514,0.313
0.500,-0.812,0.529,0.385
0.520,-0.817,0.622,0.382
0.540,-0.893,0.680,0.286
0.560,-0.910,0.607,0.281
0.580,-0.853,0.503,0.359
0.600,-0.826,0.478,0.360
0.620,-0.833,0.545,0.293
0.640,-0.838,0.631,0.235
0.660,-0.790,0.638,0.260
0.680,-0.806,0.578,0.303
0.700,-0.853,0.530,0.309
0.720,-0.859,0.559,0.332
0.740,-0.869,0.618,0.362
0.760,-0.883,0.639,0.378
0.780,-0.906,0.631,0.384
0.800,-0.876,0.604,0.366
0.820,-0.793,0.577,0.352
0.840,-0.771,0.571,0.339
0.860,-0.821,0.590,0.332
0.880,-0.872,0.597,0.362
0.900,-0.854,0.563,0.387
0.920,-0.829,0.526,0.400
0.940,-0.831,0.533,0.388
0.960,-0.850,0.577,0.340
0.980,-0.841,0.599,0.312
1.000,-0.825,0.594,0.335
1.020,-0.811,0.589,0.339
1.040,-0.825,0.584,0.334
1.060,-0.864,0.574,0.371
1.080,-0.878,0.554,0.409
1.100,-0.822,0.546,0.387
1.120,-0.786,0.563,0.325
1.140,-0.846,0.586,0.264
1.160,-0.915,0.588,0.264
1.180,-0.905,0.586,0.336
1.200,-0.857,0.594,0.374
1.220,-0.819,0.612,0.337
1.240,-0.850,0.617,0.276
1.260,-0.886,0.599,0.253
1.280,-0.859,0.573,0.254
1.300,-0.841,0.567,0.239
1.320,-0.860,0.570,0.211
1.340,-0.874,0.593,0.204
1.360,-0.905,0.637,0.218
1.380,-0.906,0.653,0.228
1.400,-0.879,0.624,0.231
1.420,-0.860,0.615,0.224
1.440,-0.884,0.655,0.145
1.460,-0.894,0.669,0.055
1.480,-0.847,0.597,0.041
1.500,-0.828,0.530,0.103
1.520,-0.876,0.567,0.118
1.540,-0.907,0.635,0.062
1.560,-0.920,0.630,0.076
1.580,-0.949,0.591,0.124
1.600,-0.927,0.600,0.105
1.620,-0.917,0.631,0.004
1.640,-0.887,0.601,-0.028
1.660,-0.888,0.567,0.020
1.680,-0.891,0.603,0.037
1.700,-0.862,0.644,0.006
1.720,-0.851,0.590,-0.001
1.740,-0.849,0.564,0.036
1.760,-0.897,0.617,0.010
1.780,-0.872,0.634,0.026
1.800,-0.829,0.537,-0.003
1.820,-0.797,0.483,-0.050
1.840,-0.803,0.556,-0.083
1.860,-0.880,0.628,-0.054
1.880,-0.933,0.596,0.032
1.900,-0.909,0.540,0.069
1.920,-0.888,0.546,-0.012
1.940,-0.885,0.556,-0.087
1.960,-0.856,0.534,-0.057
1.980,-0.847,0.547,-0.008
2.000,-0.894,0.579,0.002
2.020,-0.929,0.588,0.007
2.040,-0.898,0.583,0.033
2.060,-0.879,0.596,0.054
2.080,-0.908,0.618,0.057
2.100,-0.902,0.624,0.084
2.120,-0.873,0.638,0.121
2.140,-0.867,0.653,0.125
2.160,-0.888,0.634,0.094
2.180,-0.891,0.598,0.096
2.200,-0.893,0.614,0.121
2.220,-0.912,0.629,0.122
2.240,-0.885,0.579,0.155
2.260,-0.874,0.537,0.167
2.280,-0.906,0.559,0.120
2.300,-0.917,0.611,0.118
2.320,-0.895,0.624,0.183
2.340,-0.860,0.587,0.255
2.360,-0.866,0.576,0.250
2.380,-0.906,0.586,0.162
2.400,-0.907,0.576,0.133
2.420,-0.869,0.572,0.201
2.440,-0.862,0.587,0.265
2.460,-0.875,0.617,0.294
2.480,-0.871,0.612,0.302
2.500,-0.859,0.570,0.295
2.520,-0.859,0.547,0.295
2.540,-0.860,0.564,0.309
2.560,-0.857,0.594,0.330
2.580,-0.852,0.617,0.339
2.600,-0.854,0.590,0.345
2.620,-0.841,0.539,0.367
2.640,-0.844,0.525,0.377
2.660,-0.877,0.551,0.368
2.680,-0.872,0.574,0.339
2.700,-0.850,0.561,0.340
2.720,-0.844,0.533,0.388
2.740,-0.845,0.536,0.414
2.760,-0.848,0.576,0.403
2.780,-0.857,0.598,0.401
2.800,-0.839,0.563,0.402
2.820,-0.831,0.520,0.407
2.840,-0.827,0.520,0.383
2.860,-0.848,0.546,0.355
2.880,-0.862,0.558,0.384
2.900,-0.841,0.559,0.447
2.920,-0.821,0.558,0.443
2.940,-0.791,0.571,0.408
2.960,-0.804,0.570,0.377
2.980,-0.841,0.556,0.390
3.000,-0.863,0.561,0.413
3.020,-0.859,0.580,0.418
3.040,-0.837,0.573,0.413
3.060,-0.821,0.543,0.409
3.080,-0.810,0.547,0.424
3.100,-0.788,0.570,0.404
3.120,-0.775,0.574,0.396
3.140,-0.804,0.542,0.401
3.160,-0.824,0.505,0.416
3.180,-0.818,0.520,0.440
3.200,-0.810,0.557,0.416
3.220,-0.799,0.588,0.425
3.240,-0.786,0.609,0.406
3.260,-0.810,0.609,0.373
3.280,-0.803,0.575,0.400
3.300,-0.771,0.544,0.440
3.320,-0.754,0.542,0.455
3.340,-0.761,0.576,0.492
3.360,-0.759,0.630,0.531
3.380,-0.766,0.628,0.494
3.400,-0.768,0.578,0.493
3.420,-0.763,0.527,0.515
3.440,-0.795,0.503,0.534
3.460,-0.808,0.519,0.555
3.480,-0.774,0.558,0.576
3.500,-0.725,0.574,0.575
3.520,-0.699,0.586,0.579
3.540,-0.711,0.567,0.512
