time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.053,0.699,0.636
0.020,-0.066,0.698,0.662
0.040,-0.037,0.684,0.693
0.060,-0.210,0.469,0.457
0.080,-0.084,0.338,0.273
0.100,0.435,1.197,1.242
0.120,0.042,0.615,0.350
0.140,0.199,0.778,1.039
0.160,0.225,0.583,0.865
0.180,0.210,0.461,0.671
0.200,0.147,0.488,0.635
0.220,0.122,0.624,0.649
0.240,0.209,0.673,0.714
0.260,0.306,0.585,0.736
0.280,0.242,0.488,0.682
0.300,0.162,0.525,0.622
0.320,0.158,0.620,0.599
0.340,0.167,0.637,0.538
0.360,0.159,0.563,0.519
0.380,0.213,0.553,0.705
0.400,0.345,0.568,0.865
0.420,0.379,0.542,0.801
0.440,0.247,0.509,0.585
0.460,0.168,0.509,0.412
0.480,0.155,0.490,0.383
0.500,0.211,0.477,0.596
0.520,0.307,0.406,0.746
0.540,0.386,0.359,0.745
0.560,0.372,0.378,0.629
0.580,0.351,0.484,0.585
0.600,0.321,0.602,0.634
0.620,0.341,0.605,0.692
0.640,0.416,0.535,0.735
0.660,0.477,0.432,0.772
0.680,0.568,0.392,0.862
0.700,0.460,0.498,0.788
0.720,0.361,0.589,0.566
0.740,0.360,0.524,0.590
0.760,0.441,0.469,0.795
0.780,0.468,0.462,0.864
0.800,0.413,0.475,0.720
0.820,0.421,0.460,0.610
0.840,0.524,0.406,0.689
0.860,0.555,0.369,0.761
0.880,0.464,0.415,0.659
0.900,0.399,0.467,0.522
0.920,0.467,0.412,0.630
0.940,0.541,0.367,0.756
0.960,0.509,0.351,0.671
0.980,0.475,0.313,0.553
1.000,0.479,0.302,0.559
1.020,0.515,0.362,0.640
1.040,0.461,0.329,0.780
1.060,0.489,0.300,0.884
1.080,0.465,0.362,0.882
1.100,0.583,0.434,0.872
1.120,0.614,0.448,0.797
1.140,0.645,0.374,0.817
1.160,0.697,0.405,0.887
1.180,0.660,0.443,0.826
1.200,0.668,0.351,0.828
1.220,0.623,0.387,0.810
1.240,0.583,0.394,0.825
1.260,0.585,0.286,0.935
1.280,0.511,0.293,0.839
1.300,0.492,0.295,0.777
1.320,0.548,0.262,0.894
1.340,0.577,0.281,0.966
1.360,0.497,0.324,0.841
1.380,0.454,0.290,0.876
1.400,0.493,0.294,0.999
1.420,0.458,0.357,0.892
1.440,0.464,0.337,0.839
1.460,0.471,0.339,0.889
1.480,0.542,0.310,1.036
1.500,0.521,0.350,0.951
1.520,0.472,0.371,0.874
1.540,0.498,0.344,0.994
1.560,0.558,0.327,1.016
1.580,0.524,0.309,0.896
1.600,0.463,0.270,0.891
1.620,0.406,0.298,0.863
1.640,0.389,0.266,0.903
1.660,0.386,0.263,0.899
1.680,0.389,0.249,0.812
1.700,0.404,0.226,0.767
1.720,0.384,0.180,0.824
1.740,0.385,0.192,0.913
1.760,0.435,0.229,0.818
1.780,0.443,0.190,0.737
1.800,0.406,0.235,0.741
1.820,0.390,0.266,0.834
1.840,0.366,0.299,0.828
1.860,0.422,0.261,0.845
1.880,0.500,0.217,0.810
1.900,0.511,0.219,0.765
1.920,0.422,0.245,0.873
1.940,0.367,0.235,0.913
1.960,0.425,0.182,0.837
1.980,0.473,0.255,0.779
2.000,0.441,0.269,0.890
2.020,0.436,0.269,0.870
2.040,0.424,0.262,0.823
2.060,0.458,0.231,0.867
2.080,0.487,0.220,0.854
2.100,0.436,0.263,0.834
2.120,0.452,0.270,0.935
2.140,0.475,0.298,0.831
2.160,0.439,0.260,0.788
2.180,0.426,0.227,0.868
2.200,0.444,0.156,0.845
2.220,0.460,0.199,0.742
2.240,0.486,0.245,0.819
2.260,0.415,0.254,0.850
