time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.635,0.337,0.606
0.020,-0.577,0.354,0.665
0.040,-0.493,0.389,0.702
0.060,-0.473,0.448,0.711
0.080,-0.531,0.495,0.682
0.100,-0.530,0.499,0.647
0.120,-0.521,0.500,0.690
0.140,-0.515,0.501,0.732
0.160,-0.541,0.522,0.715
0.180,-0.583,0.522,0.703
0.200,-0.567,0.488,0.679
0.220,-0.575,0.471,0.608
0.240,-0.581,0.434,0.610
0.260,-0.587,0.404,0.647
0.280,-0.586,0.412,0.676
0.300,-0.586,0.440,0.698
0.320,-0.599,0.480,0.683
0.340,-0.650,0.535,0.659
0.360,-0.674,0.536,0.626
0.380,-0.623,0.492,0.632
0.400,-0.608,0.473,0.675
0.420,-0.641,0.493,0.667
0.440,-0.671,0.474,0.629
0.460,-0.689,0.400,0.693
0.480,-0.687,0.410,0.835
0.500,-0.680,0.504,0.818
0.520,-0.727,0.602,0.677
0.540,-0.769,0.654,0.578
0.560,-0.751,0.625,0.630
0.580,-0.790,0.564,0.768
0.600,-0.833,0.587,0.821
0.620,-0.838,0.584,0.710
0.640,-0.840,0.523,0.618
0.660,-0.846,0.538,0.589
0.680,-0.838,0.544,0.586
0.700,-0.782,0.489,0.596
0.720,-0.721,0.454,0.572
0.740,-0.670,0.465,0.517
0.760,-0.625,0.495,0.461
0.780,-0.574,0.520,0.472
0.800,-0.557,0.552,0.487
0.820,-0.584,0.547,0.463
0.840,-0.647,0.512,0.423
0.860,-0.685,0.463,0.431
0.880,-0.770,0.453,0.508
0.900,-0.864,0.532,0.453
0.920,-0.876,0.584,0.480
0.940,-0.810,0.614,0.639
0.960,-0.768,0.664,0.746
0.980,-0.775,0.703,0.628
1.000,-0.771,0.703,0.452
1.020,-0.780,0.648,0.380
1.040,-0.809,0.567,0.361
1.060,-0.823,0.496,0.344
1.080,-0.814,0.470,0.328
1.100,-0.839,0.486,0.276
1.120,-0.902,0.530,0.231
1.140,-0.885,0.557,0.240
1.160,-0.837,0.554,0.228
1.180,-0.851,0.546,0.185
1.200,-0.886,0.536,0.169
1.220,-0.895,0.545,0.197
1.240,-0.890,0.545,0.235
1.260,-0.863,0.533,0.259
1.280,-0.842,0.519,0.218
1.300,-0.822,0.544,0.143
1.320,-0.814,0.586,0.108
1.340,-0.873,0.586,0.157
1.360,-0.890,0.548,0.227
1.380,-0.847,0.555,0.189
1.400,-0.856,0.600,0.087
1.420,-0.892,0.601,0.067
1.440,-0.905,0.563,0.142
1.460,-0.909,0.573,0.219
1.480,-0.898,0.626,0.214
1.500,-0.892,0.656,0.196
1.520,-0.964,0.659,0.243
1.540,-1.029,0.647,0.333
1.560,-0.975,0.654,0.412
1.580,-0.862,0.654,0.377
1.600,-0.826,0.635,0.319
1.620,-0.934,0.390,0.486
1.640,-0.945,0.350,0.526
1.660,-0.923,0.326,0.582
1.680,-0.877,0.339,0.651
1.700,-0.839,0.384,0.773
1.720,-0.683,0.392,0.646
1.740,-0.736,0.411,0.566
1.760,-0.735,0.384,0.557
1.780,-0.716,0.340,0.637
1.800,-0.784,0.365,0.698
1.820,-0.784,0.369,0.717
1.840,-0.784,0.387,0.707
1.860,-0.785,0.426,0.705
1.880,-0.792,0.504,0.708
1.900,-0.713,0.357,0.665
1.920,-0.709,0.545,0.625
1.940,-0.693,0.616,0.659
1.960,-0.746,0.633,0.609
1.980,-0.737,0.583,0.592
2.000,-0.696,0.542,0.623
2.020,-0.723,0.512,0.629
2.040,-0.760,0.482,0.597
2.060,-0.789,0.475,0.583
2.080,-0.804,0.426,0.490
2.100,-0.800,0.407,0.450
2.120,-0.771,0.393,0.481
2.140,-0.756,0.392,0.518
2.160,-0.820,0.405,0.495
2.180,-0.804,0.385,0.476
2.200,-0.786,0.378,0.465
2.220,-0.776,0.395,0.482
2.240,-0.758,0.418,0.514
2.260,-0.753,0.455,0.508
2.280,-0.797,0.500,0.487
2.300,-0.827,0.478,0.509
2.320,-0.818,0.501,0.534
2.340,-0.811,0.557,0.526
2.360,-0.820,0.586,0.520
2.380,-0.830,0.568,0.580
2.400,-0.810,0.546,0.647
2.420,-0.780,0.526,0.654
2.440,-0.781,0.526,0.615
2.460,-0.797,0.543,0.619
2.480,-0.794,0.570,0.680
2.500,-0.798,0.576,0.702
2.520,-0.821,0.535,0.652
2.540,-0.857,0.465,0.575
2.560,-0.870,0.375,0.557
2.580,-0.852,0.277,0.579
2.600,-0.812,0.252,0.602
2.620,-0.769,0.331,0.620
2.640,-0.727,0.404,0.643
2.660,-0.698,0.466,0.681
2.680,-0.687,0.552,0.712
2.700,-0.704,0.614,0.689
