time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.549,0.741,0.598
0.020,-0.604,0.678,0.670
0.040,-0.592,0.631,0.682
0.060,-0.564,0.597,0.623
0.080,-0.542,0.588,0.565
0.100,-0.554,0.597,0.505
0.120,-0.581,0.595,0.458
0.140,-0.604,0.570,0.453
0.160,-0.620,0.546,0.477
0.180,-0.642,0.534,0.492
0.200,-0.667,0.533,0.483
0.220,-0.677,0.538,0.469
0.240,-0.668,0.553,0.459
0.260,-0.654,0.574,0.458
0.280,-0.632,0.581,0.482
0.300,-0.615,0.587,0.493
0.320,-0.614,0.608,0.478
0.340,-0.625,0.639,0.475
0.360,-0.640,0.668,0.520
0.380,-0.678,0.710,0.589
0.400,-0.725,0.761,0.646
0.420,-0.735,0.758,0.653
0.440,-0.730,0.761,0.595
0.460,-0.747,0.751,0.533
0.480,-0.803,0.689,0.576
0.500,-0.821,0.643,0.695
0.520,-0.767,0.621,0.777
0.540,-0.727,0.660,0.762
0.560,-0.687,0.731,0.752
0.580,-0.602,0.723,0.720
0.600,-0.550,0.673,0.623
0.620,-0.525,0.584,0.576
0.640,-0.503,0.475,0.591
0.660,-0.513,0.462,0.597
0.680,-0.531,0.487,0.629
0.700,-0.532,0.517,0.665
0.720,-0.534,0.581,0.694
0.740,-0.528,0.652,0.725
0.760,-0.522,0.713,0.760
0.780,-0.491,0.744,0.743
0.800,-0.492,0.732,0.641
0.820,-0.518,0.697,0.536
0.840,-0.547,0.598,0.462
0.860,-0.524,0.474,0.541
0.880,-0.531,0.423,0.621
0.900,-0.589,0.457,0.587
0.920,-0.626,0.496,0.493
0.940,-0.635,0.511,0.481
0.960,-0.634,0.510,0.487
0.980,-0.617,0.553,0.587
1.000,-0.688,0.548,0.494
1.020,-0.707,0.541,0.478
1.040,-0.712,0.532,0.535
1.060,-0.703,0.536,0.548
1.080,-0.681,0.536,0.501
1.100,-0.691,0.537,0.488
1.120,-0.735,0.577,0.571
1.140,-0.809,0.646,0.645
1.160,-0.862,0.672,0.646
1.180,-0.858,0.671,0.624
1.200,-0.830,0.692,0.683
1.220,-0.773,0.755,0.762
1.240,-0.658,0.826,0.813
1.260,-0.559,0.861,0.835
1.280,-0.531,0.877,0.808
1.300,-0.464,0.889,0.758
1.320,-0.412,0.836,0.637
1.340,-0.331,0.691,0.503
1.360,-0.242,0.586,0.462
1.380,-0.224,0.574,0.437
1.400,-0.272,0.613,0.469
1.420,-0.373,0.641,0.499
1.440,-0.439,0.652,0.534
1.460,-0.515,0.649,0.594
1.480,-0.612,0.635,0.631
1.500,-0.671,0.618,0.639
1.520,-0.680,0.642,0.663
1.540,-0.614,0.664,0.674
1.560,-0.550,0.670,0.596
1.580,-0.542,0.682,0.460
1.600,-0.565,0.637,0.398
1.620,-0.586,0.533,0.412
1.640,-0.596,0.466,0.437
1.660,-0.619,0.438,0.471
1.680,-0.638,0.474,0.473
1.700,-0.675,0.538,0.437
1.720,-0.699,0.579,0.420
1.740,-0.711,0.604,0.466
1.760,-0.704,0.594,0.510
1.780,-0.690,0.577,0.492
1.800,-0.692,0.584,0.449
1.820,-0.697,0.604,0.462
1.840,-0.721,0.609,0.518
1.860,-0.768,0.601,0.554
1.880,-0.805,0.612,0.590
1.900,-0.786,0.656,0.657
1.920,-0.750,0.706,0.684
1.940,-0.743,0.717,0.630
1.960,-0.779,0.700,0.632
1.980,-0.765,0.676,0.763
2.000,-0.674,0.701,0.945
2.020,-0.676,0.818,0.905
2.040,-0.708,0.838,0.769
2.060,-0.628,0.708,0.761
2.080,-0.545,0.573,0.728
2.100,-0.510,0.499,0.604
2.120,-0.462,0.453,0.566
2.140,-0.431,0.455,0.587
2.160,-0.422,0.476,0.635
2.180,-0.405,0.508,0.696
2.200,-0.406,0.562,0.764
2.220,-0.453,0.631,0.821
2.240,-0.513,0.685,0.790
2.260,-0.583,0.707,0.694
2.280,-0.620,0.666,0.600
2.300,-0.613,0.628,0.635
2.320,-0.553,0.533,0.606
2.340,-0.520,0.480,0.626
2.360,-0.503,0.485,0.598
2.380,-0.502,0.494,0.525
2.400,-0.494,0.523,0.497
2.420,-0.489,0.512,0.491
2.440,-0.493,0.539,0.524
2.460,-0.504,0.560,0.554
2.480,-0.569,0.550,0.563
2.500,-0.649,0.531,0.476
2.520,-0.663,0.501,0.398
2.540,-0.670,0.483,0.473
2.560,-0.702,0.514,0.608
2.580,-0.791,0.598,0.621
2.600,-0.834,0.658,0.611
2.620,-0.862,0.644,0.633
2.640,-0.858,0.647,0.720
2.660,-0.872,0.708,0.835
2.680,-0.877,0.773,0.848
2.700,-0.869,0.761,0.754
2.720,-0.771,0.661,0.717
2.740,-0.633,0.587,0.762
2.760,-0.502,0.571,0.744
2.780,-0.403,0.608,0.683
2.800,-0.333,0.656,0.561
2.820,-0.353,0.701,0.450
2.840,-0.400,0.745,0.404
2.860,-0.407,0.744,0.494
2.880,-0.384,0.698,0.617
2.900,-0.438,0.670,0.633
2.920,-0.548,0.684,0.599
2.940,-0.617,0.702,0.627
2.960,-0.636,0.677,0.676
2.980,-0.633,0.612,0.673
3.000,-0.619,0.544,0.614
3.020,-0.602,0.492,0.531
3.040,-0.574,0.474,0.470
3.060,-0.552,0.491,0.461
3.080,-0.565,0.510,0.464
3.100,-0.611,0.493,0.460
3.120,-0.654,0.472,0.497
3.140,-0.689,0.479,0.537
3.160,-0.714,0.502,0.511
3.180,-0.707,0.521,0.492
3.200,-0.680,0.539,0.501
3.220,-0.646,0.539,0.501
3.240,-0.626,0.534,0.476
3.260,-0.632,0.571,0.509
3.280,-0.659,0.643,0.583
3.300,-0.703,0.697,0.640
3.320,-0.767,0.721,0.667
3.340,-0.809,0.677,0.666
