time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.520,0.515,0.645
0.020,-0.521,0.500,0.662
0.040,-0.511,0.466,0.682
0.060,-0.544,0.492,0.676
0.080,-0.598,0.538,0.714
0.100,-0.653,0.577,0.782
0.120,-0.698,0.591,0.833
0.140,-0.674,0.569,0.822
0.160,-0.650,0.526,0.788
0.180,-0.639,0.546,0.845
0.200,-0.624,0.621,0.907
0.220,-0.594,0.647,0.906
0.240,-0.585,0.640,0.929
0.260,-0.548,0.622,0.951
0.280,-0.544,0.594,0.909
0.300,-0.531,0.561,0.781
0.320,-0.461,0.503,0.675
0.340,-0.381,0.447,0.647
0.360,-0.331,0.463,0.635
0.380,-0.281,0.545,0.615
0.400,-0.257,0.593,0.610
0.420,-0.240,0.580,0.624
0.440,-0.283,0.590,0.634
0.460,-0.349,0.608,0.676
0.480,-0.397,0.615,0.765
0.500,-0.437,0.627,0.852
0.520,-0.448,0.658,0.914
0.540,-0.467,0.652,0.897
0.560,-0.492,0.573,0.801
0.580,-0.478,0.494,0.724
0.600,-0.463,0.465,0.667
0.620,-0.453,0.479,0.600
0.640,-0.442,0.502,0.578
0.660,-0.432,0.519,0.618
0.680,-0.446,0.526,0.639
0.700,-0.477,0.526,0.609
0.720,-0.495,0.527,0.595
0.740,-0.498,0.534,0.640
0.760,-0.505,0.572,0.678
0.780,-0.508,0.603,0.691
0.800,-0.483,0.591,0.679
0.820,-0.460,0.572,0.642
0.840,-0.478,0.581,0.642
0.860,-0.529,0.627,0.730
0.880,-0.543,0.642,0.846
0.900,-0.541,0.607,0.901
0.920,-0.577,0.612,0.830
0.940,-0.605,0.628,0.781
0.960,-0.608,0.615,0.871
0.980,-0.582,0.602,0.976
1.000,-0.542,0.619,0.997
1.020,-0.523,0.654,0.927
1.040,-0.508,0.648,0.885
1.060,-0.477,0.608,0.867
1.080,-0.452,0.547,0.765
1.100,-0.445,0.453,0.618
1.120,-0.454,0.342,0.547
1.140,-0.467,0.261,0.610
1.160,-0.473,0.253,0.744
1.180,-0.480,0.382,0.822
1.200,-0.510,0.515,0.849
1.220,-0.506,0.563,0.896
1.240,-0.475,0.579,0.928
1.260,-0.445,0.585,0.903
1.280,-0.428,0.578,0.857
1.300,-0.408,0.505,0.767
1.320,-0.389,0.432,0.741
1.340,-0.386,0.416,0.734
1.360,-0.375,0.445,0.706
1.380,-0.379,0.488,0.690
1.400,-0.391,0.490,0.683
1.420,-0.408,0.476,0.716
1.440,-0.447,0.474,0.699
1.460,-0.468,0.517,0.667
1.480,-0.489,0.541,0.692
1.500,-0.483,0.510,0.716
1.520,-0.505,0.509,0.671
1.540,-0.519,0.513,0.685
1.560,-0.532,0.522,0.760
1.580,-0.583,0.568,0.812
1.600,-0.634,0.595,0.848
1.620,-0.650,0.594,0.862
1.640,-0.635,0.575,0.821
1.660,-0.600,0.549,0.825
1.680,-0.589,0.596,0.890
1.700,-0.560,0.623,0.867
1.720,-0.540,0.612,0.874
1.740,-0.520,0.602,0.921
1.760,-0.530,0.618,0.926
1.780,-0.527,0.615,0.837
1.800,-0.452,0.542,0.722
1.820,-0.366,0.476,0.658
1.840,-0.320,0.498,0.618
1.860,-0.269,0.542,0.591
1.880,-0.233,0.579,0.600
1.900,-0.245,0.595,0.640
1.920,-0.302,0.616,0.681
1.940,-0.403,0.649,0.701
1.960,-0.440,0.653,0.764
1.980,-0.480,0.627,0.832
2.000,-0.539,0.611,0.836
2.020,-0.562,0.590,0.784
2.040,-0.544,0.550,0.723
2.060,-0.525,0.516,0.662
2.080,-0.512,0.514,0.594
2.100,-0.497,0.505,0.534
2.120,-0.492,0.507,0.532
2.140,-0.531,0.546,0.546
2.160,-0.553,0.584,0.577
2.180,-0.550,0.588,0.603
2.200,-0.560,0.588,0.579
2.220,-0.564,0.601,0.589
2.240,-0.553,0.614,0.622
2.260,-0.547,0.629,0.605
2.280,-0.527,0.612,0.571
2.300,-0.499,0.604,0.547
2.320,-0.486,0.606,0.551
2.340,-0.506,0.613,0.600
2.360,-0.558,0.633,0.666
2.380,-0.603,0.659,0.729
2.400,-0.595,0.651,0.767
2.420,-0.583,0.639,0.732
2.440,-0.602,0.638,0.664
2.460,-0.637,0.620,0.727
2.480,-0.627,0.598,0.888
